Община,Училище,БЕЛ-УЧ 24,БЕЛ 24,МАТ-УЧ 24,МАТ 24,БЕЛ-УЧ 23,БЕЛ 23,МАТ-УЧ 23,МАТ 23,БЕЛ-УЧ 22,БЕЛ 22,МАТ-УЧ 22,МАТ 22,БЕЛ-УЧ 21,БЕЛ 21,МАТ-УЧ 21,МАТ 21
БЛАГОЕВГРАД,Благоевградска професионална гимназия Ичко Бойчев,59.0,30.0,59.0,18.53,49.0,31.83,48.0,19.33,42.0,"22,83",42.0,"20,61",40.0,"25,73",40.0,"15,58"
БЛАГОЕВГРАД,Седмо СУ Кузман Шапкарев,25.0,44.14,24.0,20.98,24.0,51.06,24.0,25.68,23.0,"32,65",23.0,"21,8",26.0,"40,38",26.0,18
БЛАГОЕВГРАД,Езикова гимназия Акад Людмил Стоянов,162.0,67.98,161.0,52.04,157.0,73.76,155.0,61.8,157.0,"64,48",159.0,"55,12",160.0,"65,74",159.0,"41,09"
БЛАГОЕВГРАД,ПМГ Акад Сергей Корольов,153.0,67.04,153.0,59.22,157.0,68.9,157.0,64.03,157.0,"64,31",156.0,"55,67",153.0,"61,49",151.0,"46,54"
БЛАГОЕВГРАД,ПГ по икономика Иван Илиев,105.0,53.66,105.0,26.56,101.0,58.3,101.0,33.28,103.0,"48,51",103.0,"32,09",104.0,"49,89",103.0,"20,52"
БЛАГОЕВГРАД,ПГ по строителство архитектура и геодезия Васил Левски,81.0,44.2,80.0,23.06,82.0,43.26,81.0,18.76,75.0,"39,2",75.0,"20,42",78.0,"39,35",78.0,"16,79"
БЛАГОЕВГРАД,СУ с изучаване на чужди езици Свети Климент Охридски,27.0,43.63,26.0,22.87,27.0,47.41,27.0,20.47,27.0,"45,26",27.0,"23,65",23.0,"42,3",22.0,"20,09"
ГЪРМЕН,СУ Св Св Кирил и Методий,18.0,33.53,16.0,37.31,16.0,25.69,14.0,45.52,11.0,"31,45",10.0,"48,4",16.0,33,16.0,"30,63"
БЛАГОЕВГРАД,ПГ по туризъм и лека промишленост Гоце Делчев,47.0,33.88,47.0,18.66,41.0,35.51,39.0,17.74,25.0,"27,6",25.0,"18,24",26.0,28,25.0,17
БЛАГОЕВГРАД,Национална хуманитарна гимназия Св св Кирил и Методий,135.0,55.85,134.0,25.76,130.0,58.86,130.0,31.51,129.0,"49,05",127.0,"24,34",134.0,"50,4",133.0,"22,5"
ГОЦЕ ДЕЛЧЕВ,Неврокопска професионална гимназия Димитър Талев,153.0,51.36,153.0,28.51,137.0,49.86,134.0,22.29,128.0,"42,34",128.0,"22,58",132.0,"45,75",132.0,"21,37"
ГОЦЕ ДЕЛЧЕВ,ПМГ Яне Сандански,130.0,63.98,130.0,42.96,129.0,65.83,128.0,48.95,124.0,"56,73",121.0,"50,76",130.0,"59,19",130.0,"34,09"
БАНСКО,Професионална лесотехническа гимназия Никола Йонков Вапцаров,31.0,28.13,31.0,34.58,31.0,33.66,31.0,36.65,17.0,22,17.0,"52,24",27.0,"26,7",27.0,"51,44"
САНДАНСКИ,Професионална техническа гимназия,17.0,16.18,18.0,15.56,18.0,18.89,18.0,16.22,15.0,"15,33",15.0,"19,73",12.0,17,11.0,"14,55"
ПЕТРИЧ,ПГ по механоелектротехника Юрий Гагарин,48.0,21.09,47.0,14.98,53.0,19.58,51.0,20.24,35.0,"17,43",33.0,"24,73",34.0,"21,53",38.0,"13,37"
БАНСКО,Гимназия по туризъм Алеко Константинов,14.0,25.54,16.0,14.56,17.0,29.62,19.0,30.54,19.0,"21,79",20.0,"15,4",,,,
ЯКОРУДА,ПГ Петко Рачов Славейков,33.0,42.55,32.0,46.67,18.0,37.56,19.0,23.93,23.0,"31,61",23.0,"40,39",31.0,"30,55",30.0,45
РАЗЛОГ,Разложка професионална гимназия Никола Стойчев,35.0,47.56,35.0,34.97,40.0,42.48,38.0,50.05,27.0,"34,67",27.0,"42,04",48.0,"43,15",48.0,"50,13"
САНДАНСКИ,Земеделска професионална гимназия Климент Аркадиевич Тимирязев,153.0,51.49,153.0,24.0,151.0,50.02,151.0,30.09,146.0,"43,33",145.0,"32,73",143.0,"44,21",143.0,"24,05"
ПЕТРИЧ,ПГ по икономика и туризъм Проф д-р Асен Златаров,96.0,36.19,92.0,17.98,99.0,41.72,100.0,20.4,100.0,"32,88",99.0,"22,12",101.0,"35,5",99.0,"17,7"
БАНСКО,ПГ по електроника и енергетика,54.0,49.52,54.0,26.69,53.0,43.39,53.0,35.98,30.0,"38,97",30.0,"35,28",42.0,"40,36",42.0,"54,02"
ГОЦЕ ДЕЛЧЕВ,ПГ по механизация на селското стопанство Пейо Крачолов Яворов,92.0,43.7,90.0,42.56,73.0,57.52,70.0,70.74,60.0,"38,08",54.0,"39,13",81.0,"30,11",80.0,"17,09"
РАЗЛОГ,ПГ по механизация на селското стопанствo,45.0,24.68,45.0,45.9,32.0,29.19,31.0,41.03,46.0,"40,43",46.0,"41,84",44.0,"30,27",43.0,"42,23"
