Община,Училище,БЕЛ 24,ДЗИ II 24,БЕЛ-УЧ. 24,ДЗИ II-УЧ. 24,БЕЛ 23,ДЗИ II 23,БЕЛ-УЧ. 23,ДЗИ II-УЧ. 23,БЕЛ 22,ДЗИ II 22,БЕЛ-УЧ. 22,ДЗИ II-УЧ. 22,БЕЛ 21,ДЗИ II 21,БЕЛ-УЧ. 21,ДЗИ II-УЧ. 21,БЕЛ 20,ДЗИ II 20,БЕЛ-УЧ. 20,ДЗИ II-УЧ. 20
СОФИЯ,Първа английска ЕГ,5.38,5.619,192.0,192.0,5.04,5.155,204.0,203.0,5.19,5.34,214.0,214.0,5.36,5.61,210.0,210.0,5.44,5.62,222.0,222.0
СОФИЯ,1 СУ Пенчо Славейков,4.87,5.209,106.0,104.0,4.33,4.801,102.0,101.0,4.3,4.651,91.0,91.0,4.36,4.64,87.0,86.0,4.54,4.46,73.0,73.0
СОФИЯ,Втора английска ЕГ,5.42,5.694,185.0,185.0,5.1,5.288,199.0,199.0,5.12,5.311,208.0,208.0,5.31,5.52,201.0,201.0,5.38,5.55,208.0,208.0
СОФИЯ,2 СУ Акад. Емилиян Станев,4.65,4.8,104.0,106.0,4.16,4.314,102.0,105.0,4.32,4.383,92.0,92.0,4.45,4.82,94.0,95.0,4.48,4.82,93.0,92.0
СОФИЯ,3 СУ Марин Дринов,3.68,4.458,29.0,27.0,3.03,3.783,25.0,24.0,2.98,3.307,20.0,19.0,3.41,3.93,27.0,25.0,3.39,3.81,22.0,24.0
СОФИЯ,5 вечерно СУ Пеньо Пенев,3.52,3.264,30.0,27.0,3.37,3.624,17.0,15.0,2.92,3.415,13.0,13.0,3.87,4.1,24.0,25.0,3.77,3.79,19.0,19.0
СОФИЯ,7 СУ Св. Седмочисленици,4.93,5.11,159.0,133.0,4.27,4.715,151.0,127.0,4.44,4.817,146.0,125.0,4.6,4.97,130.0,121.0,4.7,5.1,138.0,139.0
СОФИЯ,9 Френска ЕГ Алфонс дьо Ламартин,5.49,5.232,188.0,189.0,4.98,5.067,193.0,194.0,5.2,4.783,207.0,208.0,5.26,5.22,202.0,203.0,5.45,5.33,196.0,196.0
СОФИЯ,10 СУ Теодор Траянов,3.69,3.949,21.0,21.0,,,,,,,,,3.76,3.86,15.0,14.0,3.86,3.9,13.0,13.0
СОФИЯ,12 СУ Цар Иван Асен II,4.98,5.173,71.0,71.0,4.45,4.757,76.0,74.0,4.37,4.758,70.0,71.0,4.55,4.73,68.0,67.0,4.48,4.66,75.0,75.0
СОФИЯ,14 СУ Проф. Д-р Асен Златаров,3.99,4.476,22.0,16.0,3.27,3.724,16.0,15.0,4.09,4.397,18.0,18.0,,,,,3.8,4.0,24.0,24.0
СОФИЯ,15 СУ Адам Мицкевич,3.54,3.336,21.0,22.0,3.21,3.101,20.0,18.0,3.1,3.155,12.0,12.0,3.43,3.54,14.0,15.0,3.46,3.61,21.0,22.0
СОФИЯ,17 СУ Дамян Груев,4.34,3.514,19.0,22.0,,2.26,,6.0,4.08,2.87,20.0,20.0,,,,,,,,
СОФИЯ,18 СУ Уилям Гладстон,5.18,5.423,211.0,209.0,4.72,5.2,209.0,208.0,4.97,5.193,209.0,212.0,5.05,5.13,217.0,217.0,5.17,5.15,208.0,209.0
СОФИЯ,19 СУ Елин Пелин,4.81,4.764,75.0,75.0,4.26,4.641,73.0,73.0,4.52,4.767,68.0,69.0,4.57,4.82,71.0,71.0,4.57,4.67,65.0,66.0
СОФИЯ,21 СУ Христо Ботев,4.46,4.658,51.0,51.0,4.23,4.436,37.0,36.0,4.27,4.326,46.0,46.0,4.6,4.97,45.0,44.0,4.34,4.63,33.0,33.0
СОФИЯ,22 СЕУ Георги С. Раковски,5.28,5.272,166.0,166.0,4.79,5.245,170.0,170.0,5.05,5.188,175.0,175.0,5.17,5.25,161.0,161.0,5.21,5.25,153.0,153.0
СОФИЯ,23 СУ Фредерик Жолио-Кюри,4.26,4.5,86.0,83.0,3.76,4.443,68.0,68.0,3.93,4.061,52.0,52.0,4.08,4.38,76.0,76.0,4.28,4.53,70.0,70.0
СОФИЯ,24 СУ Пейо К. Яворов,2.22,2.207,10.0,5.0,2.14,2.506,11.0,8.0,2.0,2.276,7.0,5.0,3.21,3.18,19.0,17.0,3.18,3.29,14.0,14.0
СОФИЯ,26 СУ Йордан Йовков,3.94,3.183,19.0,18.0,3.34,,2.0,,3.72,3.727,13.0,13.0,4.02,4.24,12.0,13.0,4.01,4.45,23.0,23.0
СОФИЯ,27 СУ Акад. Георги Караславов,3.98,3.235,4.0,4.0,3.3,2.0,4.0,3.0,3.04,3.073,12.0,13.0,,,,,,,,
СОФИЯ,28 СУ Алеко Константинов,3.05,2.809,25.0,21.0,3.11,3.492,22.0,20.0,3.28,3.68,21.0,21.0,3.6,3.83,17.0,19.0,3.72,4.09,18.0,17.0
СОФИЯ,29 СУ Кузман Шапкарев,4.14,3.927,23.0,23.0,3.57,2.908,10.0,10.0,4.11,5.49,6.0,5.0,3.54,3.68,33.0,35.0,3.6,3.68,36.0,36.0
СОФИЯ,30 СУ Братя Миладинови,4.82,5.041,77.0,77.0,4.41,4.741,80.0,83.0,4.46,4.304,69.0,69.0,4.78,4.83,60.0,61.0,4.78,4.91,50.0,50.0
СОФИЯ,31 СУ Иван Вазов,5.29,5.269,131.0,133.0,4.87,5.047,129.0,130.0,5.04,4.946,160.0,160.0,5.12,5.23,151.0,151.0,5.2,5.23,162.0,162.0
СОФИЯ,32 СУ Св. Климент Охридски,5.18,5.387,157.0,156.0,4.8,5.075,156.0,156.0,4.96,5.141,154.0,154.0,5.25,5.56,162.0,162.0,5.19,5.25,157.0,157.0
СОФИЯ,33 ЕГ Света София,4.6,4.35,124.0,127.0,4.04,4.401,94.0,94.0,4.51,4.258,69.0,69.0,4.67,4.93,57.0,57.0,4.6,4.54,55.0,55.0
СОФИЯ,35 СЕУ Добри Войников,5.4,4.809,131.0,131.0,5.09,4.782,131.0,132.0,5.18,4.569,133.0,133.0,5.31,4.97,121.0,121.0,5.42,5.06,127.0,127.0
СОФИЯ,36 СУ Максим Горки,4.17,4.2,50.0,50.0,3.91,5.104,27.0,27.0,3.77,3.635,19.0,19.0,4.08,4.37,33.0,33.0,4.03,4.3,37.0,37.0
СОФИЯ,37 СУ Райна Княгиня,2.99,2.809,14.0,14.0,2.35,2.428,14.0,16.0,2.42,2.562,12.0,9.0,3.11,3.33,14.0,14.0,3.45,3.77,19.0,20.0
СОФИЯ,39 СУ Петър Динеков,3.84,3.567,27.0,31.0,3.18,3.215,20.0,26.0,3.3,3.011,18.0,17.0,3.64,3.39,1.0,1.0,4.59,4.9,15.0,15.0
СОФИЯ,40 СУ Луи Пастьор,4.05,3.451,25.0,26.0,3.63,3.659,10.0,9.0,4.13,3.961,14.0,12.0,4.03,3.94,13.0,13.0,3.8,3.61,10.0,10.0
СОФИЯ,44 СУ Неофит Бозвели,4.21,3.346,41.0,48.0,3.69,3.119,40.0,43.0,4.16,3.774,31.0,31.0,4.51,4.54,18.0,18.0,4.22,4.09,17.0,18.0
