Община,Училище,БЕЛ-УЧ 24,БЕЛ 24,МАТ-УЧ 24,МАТ 24,БЕЛ-УЧ 23,БЕЛ 23,МАТ-УЧ 23,МАТ,БЕЛ-УЧ 22,БЕЛ 22,МАТ-УЧ 22,МАТ 22,БЕЛ-УЧ 21,БЕЛ_2,МАТ-УЧ 21,МАТ_2
БЛАГОЕВГРАД,Второ основно училище Димитър Благоев,68.0,85.93,68.0,80.9,71.0,81.61,71.0,74.25,82.0,"79,52",82.0,"61,44",75.0,"86,87",76.0,"70,86"
БЛАГОЕВГРАД,Четвърто основно училище Димчо Дебелянов,37.0,82.69,36.0,75.1,33.0,79.18,32.0,72.72,30.0,"78,03",30.0,"54,93",34.0,"84,35",33.0,"63,97"
БЛАГОЕВГРАД,Седмо СУ Кузман Шапкарев,105.0,86.2,105.0,82.6,96.0,82.01,96.0,76.1,104.0,"83,92",104.0,"72,32",127.0,"89,44",127.0,"75,99"
БЛАГОЕВГРАД,Единадесето основно училище Христо Ботев,55.0,79.08,54.0,71.31,56.0,81.8,56.0,71.2,40.0,"78,79",38.0,57,61.0,"81,11",61.0,63
БЛАГОЕВГРАД,СУ с изучаване на чужди езици Свети Климент Охридски,43.0,70.19,43.0,67.01,43.0,77.44,43.0,69.24,42.0,"73,98",41.0,"57,24",45.0,"81,69",44.0,"65,07"
БЛАГОЕВГРАД,Трето основно училище Димитър Талев,79.0,87.08,79.0,84.54,87.0,80.1,87.0,72.09,106.0,"79,24",106.0,"67,29",116.0,"91,22",116.0,"80,35"
ГЪРМЕН,СУ Св Св Кирил и Методий,45.0,63.24,45.0,70.57,24.0,55.42,24.0,67.0,24.0,"62,29",24.0,"73,25",20.0,47,20.0,"46,5"
БЛАГОЕВГРАД,Осмо СУ Арсени Костенцев,81.0,86.86,79.0,82.35,111.0,82.32,112.0,69.87,94.0,"80,23",94.0,"64,43",99.0,"86,9",98.0,"75,65"
БЛАГОЕВГРАД,Девето основно училище Пейо Крачолов Яворов,13.0,56.65,13.0,58.58,16.0,72.31,17.0,69.59,,,,,12.0,"26,33",11.0,"27,82"
БЛАГОЕВГРАД,СУ Иван Вазов,55.0,78.47,55.0,77.24,66.0,77.12,66.0,71.48,51.0,"83,45",51.0,"68,75",64.0,"83,64",64.0,"71,95"
БАНСКО,Основно училище Свети свети Кирил и Методий,8.0,57.56,8.0,55.06,,,,,9.0,"64,94",9.0,"35,78",8.0,"66,13",8.0,"47,88"
БЛАГОЕВГРАД,Пето СУ Георги Измирлиев,44.0,86.8,44.0,85.06,51.0,86.22,51.0,80.14,40.0,"83,23",40.0,"68,58",44.0,84,42.0,"71,81"
САНДАНСКИ,Второ основно училище Христо Смирненски,66.0,79.77,66.0,73.4,68.0,76.56,63.0,68.83,86.0,"74,04",87.0,"57,99",90.0,"77,31",89.0,"65,71"
ГЪРМЕН,СУ Йордан Йовков,39.0,64.4,39.0,88.01,45.0,64.47,45.0,87.34,27.0,"74,74",27.0,"71,33",53.0,"69,87",53.0,"61,21"
ГЪРМЕН,Основно училище Пейо Крачолов Яворов,15.0,69.47,14.0,75.57,13.0,77.15,13.0,79.23,13.0,"74,15",13.0,"79,54",22.0,"63,36",22.0,"61,5"
ГЪРМЕН,ОУ Св Климент Охридски,29.0,64.48,28.0,64.59,19.0,71.42,19.0,67.11,24.0,"84,73",24.0,"74,71",22.0,"83,23",21.0,"69,05"
ГЪРМЕН,Основно училище Св Паисий Хилендарски,11.0,63.0,9.0,68.83,15.0,57.53,14.0,57.39,10.0,"53,25",9.0,60,12.0,"69,92",12.0,"62,75"
ГЪРМЕН,ОУ Христо Ботев,12.0,68.88,12.0,60.83,19.0,75.21,19.0,66.61,11.0,"74,95",11.0,"55,91",25.0,"77,2",25.0,"67,08"
ГЪРМЕН,Основно училище Димитър Талев,,,,,9.0,51.0,9.0,42.61,11.0,"56,09",11.0,"29,82",10.0,"65,1",10.0,"51,7"
ГЪРМЕН,ОУ Христо Ботев,11.0,53.14,11.0,47.82,12.0,59.0,12.0,43.21,16.0,"62,31",16.0,"45,63",20.0,"47,75",20.0,"32,2"
СИМИТЛИ,СУ Св Св Кирил и Методий,58.0,80.38,58.0,75.12,51.0,71.98,51.0,59.88,47.0,"67,88",48.0,"42,73",72.0,"77,65",72.0,"62,24"
ПЕТРИЧ,СУ Никола Йонков Вапцаров,78.0,75.22,78.0,73.56,83.0,76.31,84.0,63.98,79.0,"69,1",77.0,"56,04",87.0,"82,24",86.0,"69,93"
ГОЦЕ ДЕЛЧЕВ,СУ Св Св Кирил и Методий,46.0,79.12,46.0,75.39,32.0,73.0,32.0,62.31,29.0,"76,6",29.0,"55,97",32.0,"77,22",32.0,"61,16"
ГОЦЕ ДЕЛЧЕВ,Първо основно училище Св Св Кирил и Методий,68.0,84.44,69.0,77.93,77.0,78.29,76.0,63.24,82.0,"79,76",82.0,"61,49",84.0,"84,69",84.0,"68,2"
ГОЦЕ ДЕЛЧЕВ,Второ основно училище Гоце Делчев,87.0,84.03,88.0,79.91,70.0,81.23,68.0,73.73,68.0,"76,6",68.0,"55,01",53.0,"77,64",53.0,"61,38"
ГОЦЕ ДЕЛЧЕВ,Трето основно училище Братя Миладинови,40.0,75.78,37.0,69.07,48.0,78.9,48.0,73.15,40.0,"77,4",40.0,"52,58",36.0,"81,83",36.0,"65,33"
ГОЦЕ ДЕЛЧЕВ,Основно училище Христо Ботев,10.0,76.3,10.0,77.6,12.0,72.58,12.0,67.04,15.0,"70,97",15.0,"46,33",9.0,"77,78",9.0,"62,78"
ГОЦЕ ДЕЛЧЕВ,Основно училище Св Климент Охридски,6.0,36.42,6.0,39.58,9.0,58.22,9.0,39.61,9.0,"36,89",9.0,"19,22",14.0,"66,07",14.0,"52,36"
ГОЦЕ ДЕЛЧЕВ,Основно училище Иван Вазов,15.0,75.97,15.0,76.67,8.0,68.0,8.0,75.13,11.0,"64,64",11.0,"54,36",6.0,"80,33",6.0,63
ГОЦЕ ДЕЛЧЕВ,Основно училище Свети Паисий Хилендарски,,,,,9.0,28.44,9.0,35.39,6.0,53,6.0,"30,33",,,,
ГОЦЕ ДЕЛЧЕВ,ОУ Петър Берон,13.0,77.92,13.0,77.46,18.0,70.61,20.0,73.8,10.0,"76,15",10.0,"64,8",15.0,"73,33",15.0,"64,13"
ГОЦЕ ДЕЛЧЕВ,Oбединено училище Св Паисий Хилендарски,11.0,65.68,13.0,69.46,18.0,62.72,17.0,60.5,15.0,"66,27",15.0,"61,6",12.0,"75,33",12.0,"61,58"
РАЗЛОГ,СУ Братя Петър и Иван Каназиреви,13.0,73.62,13.0,74.08,14.0,62.5,14.0,61.11,14.0,"85,96",14.0,"63,71",14.0,"75,57",14.0,60
РАЗЛОГ,Основно училище Никола Парапунов,34.0,69.38,32.0,62.45,37.0,80.0,33.0,71.53,44.0,"79,61",44.0,"63,82",41.0,"82,76",41.0,"68,34"
РАЗЛОГ,Основно училище Св Паисий Хилендарски,27.0,68.74,27.0,62.83,19.0,57.68,19.0,46.63,30.0,"74,42",30.0,"53,9",26.0,"74,46",25.0,"57,44"
РАЗЛОГ,Основно училище Св Св Кирил и Методий,10.0,70.15,10.0,67.45,10.0,69.6,10.0,67.35,15.0,"82,53",15.0,"70,6",13.0,"76,54",13.0,"58,62"
РАЗЛОГ,Основно училище Неофит Рилски,10.0,64.95,10.0,55.3,8.0,44.88,8.0,38.19,9.0,"74,78",9.0,"53,33",6.0,"75,33",6.0,"60,83"
РАЗЛОГ,Основно училище Братя Миладинови,10.0,78.15,10.0,78.55,9.0,56.0,9.0,55.33,7.0,"73,5",7.0,"67,29",12.0,"75,58",12.0,"61,25"
РАЗЛОГ,Начално училище Яне Сандански,32.0,82.48,32.0,79.14,23.0,72.0,23.0,59.15,24.0,"67,38",22.0,"52,05",28.0,"65,04",28.0,"47,04"
РАЗЛОГ,Начално училище Св Св Кирил и Методий,32.0,77.89,32.0,75.44,30.0,73.7,30.0,68.4,30.0,"71,47",30.0,"56,93",34.0,"77,41",33.0,"72,18"
ПЕТРИЧ,СУ Антон Попов,37.0,37.57,36.0,37.74,41.0,30.12,41.0,34.98,20.0,"36,05",21.0,"26,48",21.0,"24,81",21.0,"24,24"
ПЕТРИЧ,СУ Васил Левски,18.0,69.03,18.0,71.75,17.0,67.12,17.0,54.29,11.0,"62,27",11.0,"48,36",15.0,"70,27",15.0,"67,87"
ПЕТРИЧ,СУ Св Паисий Хилендарски,42.0,76.19,42.0,71.93,28.0,76.32,28.0,58.09,31.0,"71,42",31.0,55,40.0,"69,33",40.0,"48,4"
ПЕТРИЧ,Основно училище Пейо Крачолов Яворов,14.0,73.04,14.0,64.5,17.0,82.65,17.0,65.06,10.0,"70,6",10.0,"43,1",13.0,"85,08",13.0,"65,77"
ПЕТРИЧ,Първо основно училище Кочо Мавродиев,32.0,70.69,32.0,58.72,32.0,63.03,31.0,70.97,33.0,"75,08",32.0,"68,78",35.0,"74,03",36.0,"56,36"
ПЕТРИЧ,Трето основно училище Гоце Делчев,53.0,76.07,53.0,76.23,55.0,73.58,54.0,68.67,62.0,"75,84",62.0,"58,21",63.0,"79,83",63.0,"61,16"
ПЕТРИЧ,Четвърто основно училище Христо Смирненски,62.0,82.31,62.0,85.1,75.0,76.76,75.0,70.59,77.0,"76,29",76.0,"70,29",86.0,"82,14",89.0,"78,35"
ПЕТРИЧ,Основно училище Св Св Кирил и Методий,12.0,37.58,11.0,43.18,10.0,56.9,10.0,54.55,12.0,"33,41",11.0,"30,09",10.0,"45,6",13.0,"38,92"
ПЕТРИЧ,Основно училище Св Св Кирил и Методий,11.0,62.23,11.0,55.14,12.0,59.08,12.0,59.46,10.0,"57,3",10.0,"38,8",21.0,"73,14",21.0,"58,62"
ПЕТРИЧ,Основно училище Христо Ботев,,,,,,,,,,,,,9.0,73,8.0,"68,63"
