Община,Училище,"БЕЛ-УЧ 24""",БЕЛ 24,МАТ-УЧ 24,МАТ 24,БЕЛ-УЧ 23,БЕЛ 23,МАТ-УЧ 23,МАТ 23,БЕЛ-УЧ 22,БЕЛ 22,МАТ-УЧ 22,МАТ 22,БЕЛ-УЧ 21,БЕЛ 21,МАТ-УЧ 21,МАТ 21,БЕЛ-УЧ 20,БЕЛ 20,МАТ-УЧ 20,МАТ 20,БЕЛ-УЧ 19,БЕЛ 19,МАТ-УЧ 19,МАТ 19
БЛАГОЕВГРАД,Второ основно училище Димитър Благоев,78.0,66.48,78.0,50.83,76.0,65.78,76.0,42.2,58.0,"65,76",58.0,"50,1",71.0,"64,42",71.0,"49,01",73.0,"65,01",73.0,"47,96",47.0,"63,53",47.0,"37,69"
БЛАГОЕВГРАД,Четвърто основно училище Димчо Дебелянов,39.0,63.06,39.0,38.04,35.0,58.77,34.0,36.48,37.0,"60,73",37.0,"27,51",32.0,"52,33",32.0,"34,11",27.0,"50,20",27.0,"31,96",39.0,"58,06",39.0,"29,35"
БЛАГОЕВГРАД,Седмо СУ Кузман Шапкарев,125.0,68.46,125.0,51.43,113.0,65.55,113.0,43.08,122.0,"62,32",121.0,"42,1",92.0,"65,71",91.0,"38,6",121.0,"66,96",121.0,"48,76",113.0,"66,58",114.0,"37,64"
БЛАГОЕВГРАД,Единадесето основно училище Христо Ботев,58.0,52.86,58.0,32.56,44.0,57.41,44.0,31.94,45.0,"54,98",45.0,"28,16",42.0,"56,77",42.0,"30,67",60.0,"54,98",60.0,"29,95",45.0,"54,21",45.0,"25,06"
БЛАГОЕВГРАД,ПМГ Акад Сергей Корольов,26.0,86.37,26.0,91.31,27.0,84.17,27.0,81.68,28.0,"88,93",28.0,"85,52",28.0,"86,68",28.0,"86,38",26.0,"85,46",26.0,"89,66",29.0,"86,62",29.0,"77,32"
БЛАГОЕВГРАД,СУ с изучаване на чужди езици Свети Климент Охридски,49.0,59.43,49.0,42.05,66.0,57.07,66.0,32.8,51.0,"52,05",51.0,"27,77",53.0,"58,73",53.0,"41,18",68.0,"54,07",68.0,"36,78",61.0,"55,04",61.0,"37,51"
БЛАГОЕВГРАД,Трето основно училище Димитър Талев,117.0,68.24,117.0,54.98,105.0,69.65,105.0,38.94,127.0,72,127.0,"49,28",131.0,"70,68",131.0,"48,89",92.0,"69,23",92.0,"44,94",97.0,"68,39",97.0,"44,74"
ГЪРМЕН,СУ Св Св Кирил и Методий,20.0,28.45,21.0,55.86,20.0,29.65,18.0,32.33,19.0,"36,76",18.0,"44,89",19.0,"21,21",19.0,"31,8",19.0,"19,34",15.0,"29,07",14.0,16,15.0,"18,47"
БЛАГОЕВГРАД,Осмо СУ Арсени Костенцев,85.0,69.25,85.0,56.39,87.0,65.99,87.0,42.02,98.0,"59,88",98.0,"36,94",104.0,"63,34",104.0,"48,48",88.0,"63,70",88.0,"43,91",77.0,"59,62",77.0,"36,9"
БЛАГОЕВГРАД,Девето основно училище Пейо Крачолов Яворов,11.0,7.18,11.0,18.55,16.0,23.59,16.0,13.05,10.0,"23,85",12.0,"16,56",26.0,"26,94",22.0,"20,75",20.0,"41,20",20.0,"27,28",14.0,"13,29",15.0,"11,63"
БЛАГОЕВГРАД,СУ Иван Вазов,59.0,51.77,59.0,44.88,60.0,62.97,60.0,35.9,60.0,"54,33",60.0,"33,3",57.0,"51,54",57.0,"30,23",44.0,"56,55",44.0,"34,74",55.0,"63,3",55.0,"38,24"
ГОЦЕ ДЕЛЧЕВ,ПМГ Яне Сандански,16.0,69.81,16.0,56.41,24.0,77.42,24.0,61.05,26.0,"78,56",26.0,"67,75",22.0,"80,98",22.0,"72,53",25.0,"71,58",25.0,"48,69",26.0,"75,87",26.0,"61,46"
БАНСКО,Основно училище Свети свети Кирил и Методий,8.0,59.06,8.0,23.84,8.0,54.38,8.0,22.09,10.0,"45,45",10.0,"18,6",9.0,"56,17",9.0,"26,06",11.0,"43,36",11.0,"22,48",10.0,"70,05",10.0,"36,4"
БЛАГОЕВГРАД,Пето СУ Георги Измирлиев,48.0,63.04,48.0,48.66,44.0,63.7,43.0,39.48,51.0,"60,31",51.0,"33,93",26.0,"62,08",26.0,"45,65",33.0,"55,11",33.0,"38,02",36.0,"59,61",36.0,"39,31"
САНДАНСКИ,Второ основно училище Христо Смирненски,94.0,57.05,94.0,42.48,92.0,54.65,91.0,35.93,75.0,"50,3",76.0,"34,36",77.0,"57,14",76.0,"40,61",74.0,"52,64",74.0,"38,48",68.0,"58,88",68.0,"42,4"
ГЪРМЕН,СУ Йордан Йовков,54.0,48.29,53.0,24.57,55.0,43.28,55.0,48.38,51.0,"42,43",52.0,"38,38",42.0,"44,12",42.0,"42,33",40.0,"33,44",40.0,"23,46",31.0,"30,89",31.0,"34,69"
ГЪРМЕН,Основно училище Пейо Крачолов Яворов,20.0,46.9,20.0,46.86,18.0,50.14,18.0,50.33,23.0,"57,13",23.0,"49,25",16.0,"47,91",16.0,"44,33",16.0,"57,66",16.0,"46,27",12.0,"51,5",13.0,"65,48"
ГЪРМЕН,ОУ Св Климент Охридски,23.0,58.63,23.0,43.61,31.0,57.76,31.0,29.78,38.0,"58,76",38.0,"45,08",44.0,"59,25",44.0,"44,07",34.0,"50,84",34.0,"25,85",20.0,"55,55",20.0,"45,8"
ГЪРМЕН,Основно училище Св Паисий Хилендарски,8.0,47.31,8.0,31.13,9.0,43.83,9.0,26.61,13.0,"38,5",13.0,"26,15",13.0,"38,88",12.0,"47,63",10.0,"49,30",8.0,"42,84",7.0,"33,79",9.0,"39,11"
ГЪРМЕН,ОУ Христо Ботев,24.0,64.04,24.0,55.36,22.0,56.09,22.0,37.6,23.0,60,23.0,"40,35",24.0,"55,58",24.0,"34,31",21.0,"45,62",21.0,"27,50",16.0,"57,09",16.0,"20,63"
ГЪРМЕН,Основно училище Димитър Талев,10.0,44.5,10.0,25.03,9.0,45.56,9.0,18.69,10.0,"30,35",10.0,"12,4",10.0,"26,55",10.0,"15,4",10.0,"23,65",10.0,"16,98",12.0,"26,79",12.0,"17,29"
ГЪРМЕН,ОУ Христо Ботев,18.0,31.97,18.0,28.29,18.0,32.92,17.0,20.07,16.0,"43,94",16.0,"35,47",18.0,"48,5",18.0,"23,79",26.0,"45,08",26.0,"23,84",11.0,"53,05",11.0,"36,91"
