ГР.БАНСКО,9241,7441,124,1676,8191,7441,42,708
ГР.ДОБРИНИЩЕ,2856,2398,39,419,2668,2398,74,196
С.ГОСТУН,41,34,3,4,59,34,24,1
С.КРЕМЕН,187,159,4,24,200,159,17,24
С.МЕСТА,247,192,24,31,239,192,18,29
С.ОБИДИМ,92,61,13,18,105,61,17,27
С.ОСЕНОВО,68,54,2,12,61,54,5,2
С.ФИЛИПОВО,672,596,0,76,625,596,12,17
ГР.БЕЛИЦА,3480,2989,69,422,3167,2989,32,146
С.БАБЯК,798,694,24,80,753,694,36,23
С.ГОРНО КРАИЩЕ,1246,1115,54,77,1179,1115,40,24
С.ГЪЛЪБОВО,48,38,3,7,60,38,16,6
С.ДАГОНОВО,786,704,13,69,736,704,19,13
С.ЗЛАТАРИЦА,87,73,1,13,118,73,38,7
С.КРАИЩЕ,2609,2332,93,184,2444,2332,56,56
С.КУЗЬОВО,272,223,27,22,272,223,40,9
С.ЛЮТОВО,231,208,8,15,234,208,23,3
С.ОРЦЕВО,194,161,18,15,191,161,22,8
С.ПАЛАТИК,230,189,21,20,237,189,41,7
С.ЧЕРЕШОВО,303,235,52,16,258,235,20,3
ГР.БЛАГОЕВГРАД,81762,67466,1051,13245,75220,67466,527,7227
С.БЕЛО ПОЛЕ,8326,576,41,7709,651,576,36,39
С.БИСТРИЦА,35,32,2,1,60,32,26,2
С.БУЧИНО,62,39,10,13,55,39,15,1
С.БЪЛГАРЧЕВО,261,209,20,32,295,209,79,7
С.ГАБРОВО,34,12,4,18,20,12,7,1
С.ГОРНО ХЪРСОВО,74,57,14,3,128,57,70,1
С.ДЕБОЧИЦА,15,9,5,1,26,9,12,5
С.ДЕЛВИНО,50,28,7,15,54,28,26,0
С.ДРЕНКОВО,75,49,24,2,58,49,8,1
С.ДЪБРАВА,455,32,31,392,100,32,65,3
С.ЕЛЕНОВО,407,163,8,236,183,163,13,7
С.ЗЕЛЕНДОЛ,213,168,26,19,211,168,41,2
С.ИЗГРЕВ,699,452,51,196,534,452,68,14
С.КЛИСУРА,25,12,3,10,19,12,7,0
С.ЛЕШКО,941,131,18,792,227,131,93,3
С.ЛИСИЯ,11,4,0,7,9,4,4,1
С.ЛОГОДАЖ,2448,179,31,2238,310,179,127,4
С.МАРУЛЕВО,67,21,6,40,51,21,30,0
С.МОЩАНЕЦ,24,21,3,0,51,21,30,0
С.ОБЕЛ,41,25,4,12,35,25,10,0
С.ПАДЕШ,611,507,54,50,599,507,71,21
С.ПОКРОВНИК,2039,788,90,1161,888,788,85,15
С.РИЛЦИ,4064,733,116,3215,787,733,32,22
С.СЕЛИЩЕ,270,196,11,63,353,196,150,7
С.ЦЕРОВО,731,691,12,28,704,691,10,3
ГР.ГОЦЕ ДЕЛЧЕВ,22194,19258,135,2801,20324,19258,196,870
С.БАНИЧАН,613,506,23,84,559,506,18,35
С.БОРОВО,1183,946,81,156,1006,946,22,38
С.БРЕЗНИЦА,3794,3367,32,395,3420,3367,23,30
С.БУКОВО,1085,915,10,160,944,915,3,26
С.ГОСПОДИНЦИ,500,464,10,26,495,464,14,17
С.ДЕЛЧЕВО,51,36,8,7,38,36,2,0
С.ДОБРОТИНО,33,29,4,0,41,29,11,1
С.КОРНИЦА,2306,1565,51,690,1598,1565,10,23
С.ЛЪЖНИЦА,1996,1506,26,464,1547,1506,24,17
С.МУСОМИЩА,2220,1965,40,215,2211,1965,97,149
С.БАЛДЕВО,190,154,3,33,174,154,9,11
С.ГОРНО ДРЯНОВО,1080,982,21,77,1033,982,46,5
С.ГЪРМЕН,2115,1725,37,353,1849,1725,48,76
С.ДЕБРЕН,2554,2216,57,281,2304,2216,55,33
С.ДОЛНО ДРЯНОВО,1332,1192,12,128,1261,1192,31,38
С.ДЪБНИЦА,2261,1478,55,728,1622,1478,55,89
С.КОВАЧЕВИЦА,48,26,2,20,37,26,3,8
С.КРУШЕВО,279,224,18,37,243,224,14,5
С.ЛЕЩЕН,5,4,0,1,10,4,1,5
С.МАРЧЕВО,148,114,9,25,167,114,14,39
С.ОГНЯНОВО,1702,1371,101,230,1478,1371,50,57
С.ОРЕШЕ,262,200,13,49,226,200,6,20
С.ОСИКОВО,571,462,23,86,498,462,28,8
С.РИБНОВО,3003,2427,23,553,2501,2427,42,32
С.СКРЕБАТНО,287,241,11,35,262,241,11,10
С.ХВОСТЯНЕ,1314,541,50,723,592,541,22,29
ГР.КРЕСНА,3699,3317,31,351,3620,3317,21,282
С.ВЛАХИ,9,3,0,6,5,3,2,0
С.ГОРНА БРЕЗНИЦА,536,449,8,79,587,449,17,121
С.ДОЛНА ГРАДЕШНИЦА,641,554,9,78,669,554,4,111
С.ОЩАВА,69,48,0,21,77,48,1,28
С.СЛИВНИЦА,616,550,4,62,622,550,8,64
С.СТАРА КРЕСНА,64,48,1,15,92,48,0,44
ГР.ПЕТРИЧ,39197,29809,376,9012,30861,29809,334,718
С.БАСКАЛЦИ,73,66,3,4,69,66,2,1
С.БЕЛАСИЦА,1177,1017,44,116,1062,1017,35,10
С.БОГОРОДИЦА,43,16,1,26,22,16,5,1
С.БОРОВИЧЕНЕ,58,50,8,0,58,50,6,2
С.ВИШЛЕНЕ,52,48,4,0,53,48,5,0
С.ВОЛНО,48,17,3,28,18,17,1,0
С.ГАБРЕНЕ,939,647,35,257,762,647,75,40
С.ГЕГА,255,226,18,11,243,226,13,4
С.ГЕНЕРАЛ ТОДОРОВ,700,607,27,66,639,607,10,22
С.ГОРЧЕВО,4,4,0,0,5,4,1,0
С.ДОЛЕНЕ,18,15,2,1,23,15,0,8
С.ДОЛНА КРУШИЦА,188,167,14,7,172,167,4,1
С.ДОЛНА РИБНИЦА,366,323,26,17,349,323,20,6
С.ДОЛНО СПАНЧЕВО,106,89,5,12,96,89,1,6
С.ДРАГУШ,37,32,2,3,34,32,1,1
С.ДРАНГОВО,555,477,44,34,489,477,11,1
С.ДРЕНОВИЦА,15,12,3,0,13,12,1,0
С.ДРЕНОВО,97,93,2,2,106,93,12,1
С.ЗОЙЧЕНЕ,50,47,3,0,51,47,3,1
С.ИВАНОВО,6,5,0,1,8,5,3,0
С.КАВРАКИРОВО,1635,1526,43,66,1579,1526,25,28
С.КАМЕНА,344,257,29,58,279,257,12,10
С.КАПАТОВО,167,139,0,28,172,139,3,30
С.КЛАДЕНЦИ,38,36,0,2,39,36,3,0
С.КЛЮЧ,990,799,32,159,835,799,26,10
С.КОЛАРОВО,2124,1904,52,168,1982,1904,43,35
С.КРОМИДОВО,122,101,2,19,143,101,1,41
С.КРЪНДЖИЛИЦА,7,4,2,1,5,4,0,1
С.КУКУРАХЦЕВО,53,47,4,2,49,47,2,0
С.КУЛАТА,828,765,10,53,836,765,22,49
С.КЪРНАЛОВО,1800,1631,45,124,1700,1631,40,29
С.МАРИКОСТИНОВО,1294,1179,7,108,1268,1179,20,69
С.МАРИНО ПОЛЕ,315,272,3,40,291,272,5,14
С.МЕНДОВО,106,95,4,7,101,95,6,0
С.МИТИНО,402,303,6,93,354,303,32,19
С.МИХНЕВО,1115,1007,49,59,1050,1007,34,9
С.НОВО КОНОМЛАДИ,147,119,3,25,137,119,5,13
С.ПРАВО БЪРДО,64,49,13,2,60,49,9,2
С.ПЪРВОМАЙ,3646,3273,76,297,3412,3273,114,25
