ГР.БАНСКО,9355,7560,106,1689,8538,7560,41,937
ГР.ДОБРИНИЩЕ,2845,2385,43,417,2639,2385,60,194
С.ГОСТУН,32,29,0,3,51,29,19,3
С.КРЕМЕН,166,138,6,22,182,138,15,29
С.МЕСТА,241,187,18,36,233,187,17,29
С.ОБИДИМ,83,60,9,14,101,60,16,25
С.ОСЕНОВО,54,43,1,10,58,43,4,11
С.ФИЛИПОВО,655,588,0,67,621,588,11,22
ГР.БЕЛИЦА,3396,2951,46,399,3126,2951,37,138
С.БАБЯК,784,688,22,74,720,688,16,16
С.ГОРНО КРАИЩЕ,1255,1147,40,68,1185,1147,24,14
С.ГЪЛЪБОВО,42,37,2,3,51,37,10,4
С.ДАГОНОВО,797,705,11,81,731,705,14,12
С.ЗЛАТАРИЦА,78,70,2,6,104,70,31,3
С.КРАИЩЕ,2631,2356,64,211,2472,2356,51,65
С.КУЗЬОВО,275,234,19,22,266,234,27,5
С.ЛЮТОВО,220,195,6,19,213,195,16,2
С.ОРЦЕВО,176,158,12,6,176,158,11,7
С.ПАЛАТИК,231,200,14,17,222,200,16,6
С.ЧЕРЕШОВО,294,256,26,12,269,256,11,2
ГР.БЛАГОЕВГРАД,82340,67348,1145,13847,74839,67348,530,6961
С.БЕЛО ПОЛЕ,11291,587,36,10668,655,587,35,33
С.БИСТРИЦА,213,22,5,186,64,22,41,1
С.БУЧИНО,108,33,8,67,50,33,15,2
С.БЪЛГАРЧЕВО,278,200,18,60,286,200,71,15
С.ГАБРОВО,63,6,5,52,14,6,7,1
С.ГОРНО ХЪРСОВО,46,36,8,2,93,36,56,1
С.ДЕБОЧИЦА,43,10,4,29,28,10,13,5
С.ДЕЛВИНО,289,28,7,254,78,28,50,0
С.ДРЕНКОВО,66,46,18,2,53,46,6,1
С.ДЪБРАВА,609,29,40,540,102,29,70,3
С.ЕЛЕНОВО,490,170,21,299,184,170,10,4
С.ЗЕЛЕНДОЛ,219,157,33,29,209,157,50,2
С.ИЗГРЕВ,722,472,52,198,566,472,73,21
С.КЛИСУРА,21,8,1,12,15,8,7,0
С.ЛЕШКО,1027,114,13,900,217,114,97,6
С.ЛИСИЯ,9,5,0,4,8,5,2,1
С.ЛОГОДАЖ,4291,188,28,4075,324,188,121,15
С.МАРУЛЕВО,530,22,5,503,90,22,67,1
С.МОЩАНЕЦ,26,24,2,0,56,24,30,2
С.ОБЕЛ,40,21,6,13,31,21,9,1
С.ПАДЕШ,567,466,53,48,567,466,77,24
С.ПОКРОВНИК,3007,790,88,2129,910,790,107,13
С.РИЛЦИ,5216,742,121,4353,817,742,50,25
С.СЕЛИЩЕ,263,175,11,77,313,175,132,6
С.ЦЕРОВО,734,701,5,28,708,701,7,0
ГР.ГОЦЕ ДЕЛЧЕВ,22129,19016,135,2978,20066,19016,183,867
С.БАНИЧАН,599,516,22,61,564,516,16,32
С.БОРОВО,1174,960,74,140,1019,960,23,36
С.БРЕЗНИЦА,3824,3358,36,430,3405,3358,21,26
С.БУКОВО,1112,934,11,167,956,934,4,18
С.ГОСПОДИНЦИ,519,472,11,36,496,472,19,5
С.ДЕЛЧЕВО,47,37,4,6,40,37,3,0
С.ДОБРОТИНО,31,27,4,0,37,27,9,1
С.КОРНИЦА,2331,1622,44,665,1650,1622,11,17
С.ЛЪЖНИЦА,2036,1553,24,459,1588,1553,20,15
С.МОСОМИЩЕ,2194,1946,39,209,2138,1946,95,97
С.БАЛДЕВО,187,163,2,22,182,163,10,9
С.ГОРНО ДРЯНОВО,1079,969,23,87,1017,969,43,5
С.ГЪРМЕН,2143,1768,37,338,1878,1768,42,68
С.ДЕБРЕН,2592,2247,72,273,2326,2247,50,29
С.ДОЛНО ДРЯНОВО,1344,1196,16,132,1270,1196,33,41
С.ДЪБНИЦА,2315,1691,39,585,1835,1691,57,87
С.КОВАЧЕВИЦА,47,27,2,18,37,27,3,7
С.КРУШЕВО,275,227,18,30,245,227,14,4
С.ЛЕЩЕН,3,2,1,0,8,2,1,5
С.МАРЧЕВО,145,120,5,20,183,120,24,39
С.ОГНЯНОВО,1697,1395,93,209,1492,1395,47,50
С.ОРЕШЕ,230,181,10,39,232,181,4,47
С.ОСИКОВО,573,474,25,74,508,474,26,8
С.РИБНОВО,3069,2600,21,448,2656,2600,42,14
С.СКРЕБАТНО,276,227,11,38,252,227,10,15
С.ХВОСТЯНЕ,1366,638,43,685,675,638,12,25
ГР.КРЕСНА,3617,3202,43,372,3578,3202,32,344
С.ВЛАХИ,5,2,0,3,13,2,3,8
С.ГОРНА БРЕЗНИЦА,497,419,8,70,575,419,19,137
С.ДОЛНА ГРАДЕШНИЦА,612,521,12,79,624,521,6,97
С.ОЩАВА,61,41,1,19,71,41,4,26
С.СЛИВНИЦА,593,520,11,62,623,520,12,91
С.СТАРА КРЕСНА,52,42,1,9,98,42,0,56
ГР.ПЕТРИЧ,40230,29149,536,10545,30169,29149,314,706
С.БАСКАЛЦИ,65,55,5,5,58,55,2,1
С.БЕЛАСИЦА,1163,968,54,141,1016,968,33,15
С.БОГОРОДИЦА,40,8,2,30,13,8,4,1
С.БОРОВИЧЕНЕ,52,46,6,0,53,46,5,2
С.ВИШЛЕНЕ,47,41,1,5,47,41,4,2
С.ВОЛНО,52,11,4,37,12,11,1,0
С.ГАБРЕНЕ,961,641,32,288,759,641,66,52
С.ГЕГА,235,211,17,7,245,211,29,5
С.ГЕНЕРАЛ ТОДОРОВ,685,589,25,71,621,589,11,21
С.ГОРЧЕВО,2,2,0,0,3,2,1,0
С.ДОЛЕНЕ,16,13,2,1,19,13,0,6
С.ДОЛНА КРУШИЦА,178,156,15,7,174,156,17,1
С.ДОЛНА РИБНИЦА,411,310,17,84,334,310,18,6
С.ДОЛНО СПАНЧЕВО,88,72,3,13,95,72,4,19
С.ДРАГУШ,36,31,2,3,41,31,9,1
С.ДРАНГОВО,544,455,41,48,494,455,35,4
С.ДРЕНОВИЦА,13,10,3,0,12,10,2,0
С.ДРЕНОВО,87,77,7,3,94,77,15,2
С.ЗОЙЧЕНЕ,45,42,2,1,44,42,2,0
С.ИВАНОВО,4,3,1,0,6,3,3,0
С.КАВРАКИРОВО,1641,1522,38,81,1601,1522,53,26
С.КАМЕНА,314,238,22,54,273,238,22,13
С.КАПАТОВО,150,126,0,24,188,126,15,47
С.КЛАДЕНЦИ,34,32,0,2,35,32,3,0
С.КЛЮЧ,1001,764,34,203,815,764,38,13
С.КОЛАРОВО,2086,1799,63,224,1895,1799,61,35
С.КРОМИДОВО,102,82,7,13,126,82,0,44
С.КРЪНДЖИЛИЦА,6,4,2,0,5,4,0,1
С.КУКУРАХЦЕВО,49,45,3,1,47,45,2,0
С.КУЛАТА,809,718,9,82,786,718,20,48
