;;Събития (опасности);Събития (опасности);Събития (опасности);Загинали лица;Загинали лица;Загинали лица;Пострадали лица;Пострадали лица;Пострадали лица;
;;2021;2022;2023;2021;2022;2023;2021;2022;2023;
България;85001 БЕДСТВИЯ И КРИЗИСНИ СЪБИТИЯ - ОБЩО;14041;14707;14850;28350;9689;667;7960;8731;9415;
България;85101 Геофизични;90;74;75;0;0;0;0;0;0;
България;85110 Земетресения;1;2;1;0;0;0;0;0;0;
България;85111 движение на земни пластове;1;2;1;0;0;0;0;0;0;
България;85112 цунами;0;0;0;0;0;0;0;0;0;
България;85120 Движение на маси (сухо);89;72;74;0;0;0;0;0;0;
България;85121 срутище;22;20;6;0;0;0;0;0;0;
България;85122 свлачище;66;48;45;.;.;0;.;.;0;
България;85123 пропадане на земята или слягане;1;4;23;0;0;0;0;0;0;
България;85130 Вулканична дейност;0;0;0;0;0;0;0;0;0;
България;85131 вулканична пепел;0;0;0;0;0;0;0;0;0;
България;85132 лахар;0;0;0;0;0;0;0;0;0;
България;85133 пирокластичен поток;0;0;0;0;0;0;0;0;0;
България;85134 лава;0;0;0;0;0;0;0;0;0;
България;85201 Метеорологични;215;78;191;0;0;3;0;0;1;
България;85210 Буря;171;77;125;0;0;3;0;0;1;
България;85211 градушка;3;3;5;0;0;0;0;0;0;
България;85212 светкавица/гръмотевична буря;10;1;1;0;0;1;0;0;1;
България;85213 обилен дъжд;132;56;68;0;0;1;0;0;0;
България;85214 смерч (торнадо);3;2;2;0;0;0;0;0;0;
България;85215 пясъчна/прашна буря;0;0;0;0;0;0;0;0;0;
България;85216 силна буря;17;7;43;0;0;1;0;0;0;
България;85217 вятър;6;8;6;0;0;0;0;0;0;
България;85220 Екстремни температури;33;21;31;0;0;0;0;0;0;
България;85221 студена вълна (в т.ч. слани);17;18;14;0;0;0;0;0;0;
България;85222 топлинна вълна;16;3;17;0;0;0;0;0;0;
България;85230 Сурови зимни условия;9;1;35;0;0;0;0;0;0;
България;85231 сняг/лед;5;0;20;0;0;0;0;0;0;
България;85232 зимна буря/виелица;3;1;15;0;0;0;0;0;0;
България;85233 мраз/скреж;1;0;0;0;0;0;0;0;0;
България;85240 Мъгла;2;0;0;0;0;0;0;0;0;
