;брой;брой;брой;брой;брой;брой;брой;брой;брой;
;2021;2021;2021;2021;2021;2021;2021;2021;2021;
;Общо;Християнско;Мюсюлманско;Юдейско;Друго;Нямам;Не мога да определя;Не желая да отговоря;Непоказано;
BG Общо за страната;6519789;4219270;638708;1736;6451;305102;259235;472606;616681;
BG3 Северна и Югоизточна България;3182048;2058585;350246;470;1871;179229;137630;214739;239278;
BG31 Северозападен;690685;507319;9139;58;204;56662;40657;46299;30347;
VID Видин;75408;64086;51;8;18;3406;2011;4189;1639;
VID01 Белоградчик;5049;4317;5;-;2;86;316;177;146;
VID03 Бойница;763;709;1;-;-;23;16;11;3;
VID06 Брегово;3926;3524;-;-;-;85;155;110;52;
VID09 Видин;47847;40123;42;7;14;2403;1063;3171;1024;
VID15 Грамада;1345;1073;-;-;-;218;13;26;15;
VID16 Димово;4810;4320;-;-;-;37;44;224;185;
VID22 Кула;3292;3112;1;-;-;36;31;66;46;
VID25 Макреш;1067;989;1;-;-;32;21;14;10;
VID30 Ново село;2375;2020;-;1;1;135;50;128;40;
VID33 Ружинци;3299;2413;1;-;1;279;271;250;84;
VID37 Чупрене;1635;1486;-;-;-;72;31;12;34;
VRC Враца;152813;107264;715;7;30;14673;13072;14246;2806;
VRC05 Борован;4839;2463;4;-;-;1198;567;492;115;
VRC08 Бяла Слатина;19876;11682;575;2;1;2960;2471;1697;488;
VRC10 Враца;61742;45608;42;4;23;4783;4351;5961;970;
VRC20 Козлодуй;18015;12182;24;-;4;1601;1879;1937;388;
VRC21 Криводол;7638;5606;11;-;-;1003;509;366;143;
VRC27 Мездра;17669;14232;10;1;1;760;497;1910;258;
VRC28 Мизия;5692;4422;1;-;-;130;711;350;78;
VRC31 Оряхово;8566;4579;43;-;1;1571;1362;782;228;
VRC32 Роман;4875;3580;4;-;-;313;400;487;91;
VRC35 Хайредин;3901;2910;1;-;-;354;325;264;47;
LOV Ловеч;116394;82468;3009;6;50;10673;7574;9978;2636;
LOV02 Априлци;2786;2455;6;-;-;128;102;78;17;
LOV17 Летница;3632;2690;262;-;-;292;209;83;96;
LOV18 Ловеч;38699;27906;1163;2;25;3124;2122;3647;710;
LOV19 Луковит;15761;10410;363;2;6;1263;1266;1657;794;
LOV33 Тетевен;17970;9748;323;-;4;3572;1817;2182;324;
LOV34 Троян;26884;21649;823;2;15;1219;1286;1538;352;
LOV36 Угърчин;5035;3198;58;-;-;721;308;626;124;
LOV38 Ябланица;5627;4412;11;-;-;354;464;167;219;
MON Монтана;119950;88497;83;4;35;10147;6876;5969;8339;
MON02 Берковица;14501;12705;6;-;6;264;136;326;1058;
MON04 Бойчиновци;7712;5413;4;1;1;1328;203;263;499;
MON07 Брусарци;4096;2472;-;3;-;820;377;186;238;
MON11 Вълчедръм;7698;3958;6;-;8;1663;990;381;692;
MON12 Вършец;6927;5026;4;-;2;513;908;165;309;
