;брой;брой;брой;брой;брой;брой;
;2011;2011;2011;2021;2021;2021;
;Общо;Грамотни лица;Неграмотни лица;Общо;Грамотни лица;Неграмотни лица;
Общо за страната;6766337;6653559;112778;5989041;5913363;75678;
Северна и Югоизточна България;3444225;3376919;67306;2928358;2881530;46828;
Северозападен;782960;771814;11146;639731;632236;7495;
Видин;93982;92757;1225;70705;69936;769;
Белоградчик;6084;5897;187;4700;4667;33;
Бойница;1318;1300;18;741;738;3;
Брегово;5229;4949;280;3712;3521;191;
Видин;58714;58345;369;44943;44703;240;
Грамада;1907;1907;0;1275;1270;5;
Димово;5924;5818;106;4398;4343;55;
Кула;4479;4398;81;3124;3091;33;
Макреш;1569;1566;3;1024;1012;12;
Ново село;2839;2817;22;2255;2244;11;
Ружинци;4002;3865;137;3027;2874;153;
Чупрене;1917;1895;22;1506;1473;33;
Враца;172439;170220;2219;140657;139273;1384;
Борован;5129;5020;109;4318;4248;70;
Бяла Слатина;22378;21911;467;18147;17861;286;
Враца;68325;67751;574;57040;56794;246;
Козлодуй;19321;18938;383;16331;16116;215;
Криводол;8722;8551;171;7016;6792;224;
Мездра;20312;20108;204;16462;16336;126;
Мизия;7054;6970;84;5310;5256;54;
Оряхово;10683;10534;149;7958;7881;77;
Роман;5801;5758;43;4477;4410;67;
Хайредин;4714;4679;35;3598;3579;19;
Ловеч;130504;128441;2063;107640;105922;1718;
Априлци;3195;3187;8;2664;2661;3;
Летница;3435;3364;71;3320;3171;149;
Ловеч;46551;46254;297;36341;35976;365;
Луковит;16034;15321;713;13994;13582;412;
Тетевен;19544;19200;344;16593;16429;164;
Троян;30357;30263;94;25234;25130;104;
Угърчин;5941;5693;248;4564;4429;135;
Ябланица;5447;5159;288;4930;4544;386;
Монтана;137090;135350;1740;111406;110160;1246;
Берковица;17416;16962;454;13578;13402;176;
Бойчиновци;8548;8395;153;7098;6992;106;
Брусарци;4751;4666;85;3822;3760;62;
Вълчедръм;9110;8964;146;7035;6916;119;
Вършец;7489;7245;244;6319;6182;137;
Георги Дамяново;2674;2647;27;1952;1943;9;
Лом;26082;25886;196;19853;19606;247;
Медковец;3760;3661;99;2840;2790;50;
Монтана;49681;49414;267;42911;42621;290;
