;брой;брой;брой;брой;брой;брой;брой;брой;
;2021;2021;2021;2021;2021;2021;2021;2021;
;Общо;Българска;Турска;Ромска;Друга;Не мога да определя;Не желая да отговоря;Непоказана;
BG Общо за страната;6519789;5118494;508378;266720;79006;15746;63767;467678;
BG3 Северна и Югоизточна България;3182048;2432919;329692;163938;35411;8458;29420;182210;
BG31 Северозападен;690685;608950;8781;40315;2514;1779;5181;23165;
VID Видин;75408;68143;65;5055;345;59;247;1494;
VID01 Белоградчик;5049;3825;4;1052;14;2;16;136;
VID03 Бойница;763;737;1;2;14;5;1;3;
VID06 Брегово;3926;3796;2;44;25;3;6;50;
VID09 Видин;47847;43836;36;2575;237;38;178;947;
VID15 Грамада;1345;1297;2;20;10;-;2;14;
VID16 Димово;4810;4257;7;365;11;1;20;149;
VID22 Кула;3292;3171;2;67;8;3;3;38;
VID25 Макреш;1067;998;1;54;3;1;2;8;
VID30 Ново село;2375;2297;2;20;14;2;2;38;
VID33 Ружинци;3299;2687;7;504;2;4;14;81;
VID37 Чупрене;1635;1242;1;352;7;-;3;30;
VRC Враца;152813;137587;424;10132;444;260;1379;2587;
VRC05 Борован;4839;4605;3;95;-;10;22;104;
VRC08 Бяла Слатина;19876;16133;256;2699;35;52;259;442;
VRC10 Враца;61742;58237;46;1888;185;94;371;921;
VRC20 Козлодуй;18015;15591;30;1751;64;23;211;345;
VRC21 Криводол;7638;6269;8;1120;15;11;85;130;
VRC27 Мездра;17669;16389;13;591;66;22;337;251;
VRC28 Мизия;5692;5327;2;258;21;10;9;65;
VRC31 Оряхово;8566;7339;58;864;19;32;53;201;
VRC32 Роман;4875;4474;5;266;16;2;27;85;
VRC35 Хайредин;3901;3223;3;600;23;4;5;43;
LOV Ловеч;116394;103484;2789;4999;407;574;1628;2513;
LOV02 Априлци;2786;2749;3;9;2;2;6;15;
LOV17 Летница;3632;3040;448;8;15;2;23;96;
LOV18 Ловеч;38699;35372;1298;593;158;90;507;681;
LOV19 Луковит;15761;12049;155;2415;47;35;310;750;
LOV33 Тетевен;17970;16580;20;383;79;107;501;300;
LOV34 Троян;26884;25107;791;325;72;90;161;338;
LOV36 Угърчин;5035;4531;64;170;16;47;89;118;
LOV38 Ябланица;5627;4056;10;1096;18;201;31;215;
MON Монтана;119950;99539;136;13130;381;275;709;5780;
MON02 Берковица;14501;12144;6;1506;58;3;27;757;
MON04 Бойчиновци;7712;5741;9;1433;30;20;129;350;
MON07 Брусарци;4096;3437;6;454;11;8;20;160;
MON11 Вълчедръм;7698;5569;23;1440;21;129;50;466;
MON12 Вършец;6927;5199;7;1453;26;4;12;226;
MON14 Георги Дамяново;2018;1937;1;11;7;3;2;57;
MON24 Лом;21248;16943;30;2508;63;24;73;1607;
MON26 Медковец;3085;2345;4;556;2;2;3;173;
MON29 Монтана;46271;40775;38;3152;146;71;357;1732;
MON36 Чипровци;2859;2740;2;14;10;3;12;78;
MON38 Якимово;3535;2709;10;603;7;8;24;174;
PVN Плевен;226120;200197;5367;6999;937;611;1218;10791;
PVN03 Белене;7803;7251;176;63;26;7;19;261;
PVN08 Гулянци;9540;8930;36;63;35;1;12;463;
PVN10 Долна Митрополия;16816;14288;329;1311;63;28;68;729;
PVN11 Долни Дъбник;9956;8335;353;627;42;13;43;543;
PVN23 Искър;5686;4917;31;409;22;7;58;242;
PVN39 Кнежа;12937;10898;201;859;20;211;275;473;
PVN16 Левски;15426;13557;646;463;61;29;60;610;
PVN21 Никопол;6958;4945;1593;53;35;62;31;239;
PVN24 Плевен;113131;101522;1848;2585;554;213;558;5851;
PVN27 Пордим;4892;4526;77;1;15;9;19;245;
PVN37 Червен бряг;22975;21028;77;565;64;31;75;1135;
BG32 Северен централен;700234;507182;123739;22538;7098;1709;6687;31281;
VTR Велико Търново;207371;178491;11348;3655;1652;598;1716;9911;
VTR04 Велико Търново;76718;68835;2357;172;537;135;591;4091;
VTR06 Горна Оряховица;38456;33783;1451;673;121;49;465;1914;
VTR13 Елена;7737;5516;1041;726;49;44;69;292;
VTR14 Златарица;3363;2284;506;111;244;22;32;164;
VTR20 Лясковец;11468;10624;191;68;72;14;66;433;
VTR22 Павликени;18737;15768;1240;388;220;48;101;972;
VTR26 Полски Тръмбеш;11169;8421;1364;603;99;114;86;482;
VTR28 Свищов;27595;24428;1581;167;138;90;173;1018;
VTR31 Стражица;10128;7386;1294;715;144;69;103;417;
VTR32 Сухиндол;2000;1446;323;32;28;13;30;128;
