;процент;процент;процент;процент;процент;процент;процент;процент;процент;
;Коефициенти на икономическа активност;Коефициенти на икономическа активност;Коефициенти на икономическа активност;Коефициенти на заетост;Коефициенти на заетост;Коефициенти на заетост;Коефициенти на безработица;Коефициенти на безработица;Коефициенти на безработица;
;Общо;Мъже;Жени;Общо;Мъже;Жени;Общо;Мъже;Жени;
Общо за страната;52.7;57.1;48.8;47.5;51.1;44.2;9.9;10.5;9.3;
Северна и Югоизточна България;49.8;54.5;45.6;43.8;47.6;40.3;12.1;12.6;11.6;
Северозападен;46.3;50.2;42.7;39.5;42.3;36.9;14.8;15.8;13.7;
Видин;42.7;46.7;39.1;34.3;36.9;32.0;19.8;21.1;18.3;
Белоградчик;47.6;51.7;43.8;33.2;35.5;31.0;30.3;31.3;29.3;
Бойница;23.7;29.5;19.1;22.2;27.6;17.8;6.4;6.3;6.4;
Брегово;34.8;38.2;31.4;23.9;24.6;23.1;31.4;35.5;26.3;
Видин;46.0;49.8;42.6;39.5;42.2;37.0;14.2;15.3;13.0;
Грамада;33.6;38.8;28.7;21.1;23.9;18.4;37.3;38.3;36.1;
Димово;29.2;33.2;25.4;19.1;21.7;16.7;34.5;34.7;34.2;
Кула;43.5;48.4;39.0;33.1;36.9;29.6;23.9;23.7;24.0;
Макреш;14.3;15.3;13.3;12.6;13.8;11.4;12.1;9.7;14.5;
Ново село;31.7;37.5;26.4;23.5;26.8;20.4;25.9;28.5;22.5;
Ружинци;41.1;45.1;37.4;22.9;24.3;21.6;44.2;46.0;42.2;
Чупрене;44.7;50.8;38.7;26.1;30.4;21.9;41.6;40.2;43.3;
Враца;48.0;51.5;44.8;40.0;42.2;38.0;16.7;18.1;15.2;
Борован;43.7;47.4;40.2;23.8;25.2;22.4;45.6;46.9;44.2;
Бяла Слатина;40.6;44.0;37.5;28.8;30.1;27.5;29.2;31.6;26.6;
Враца;50.5;53.2;48.0;45.8;47.5;44.3;9.3;10.8;7.7;
