;брой;брой;брой;брой;брой;брой;брой;брой;
;2021;2021;2021;2021;2021;2021;2021;2021;
;Общо;Български;Турски;Ромски;Друг;Не мога да определя;Не желая да отговоря;Непоказан;
BG Общо за страната;6519789;5037607;514386;227974;62906;10633;49602;616681;
BG3 Северна и Югоизточна България;3182048;2398053;344606;136504;33279;6438;23890;239278;
BG31 Северозападен;690685;615396;7231;29973;3160;1239;3339;30347;
VID Видин;75408;68040;80;5030;428;26;165;1639;
VID01 Белоградчик;5049;3833;2;1048;15;1;4;146;
VID03 Бойница;763;739;1;2;16;-;2;3;
VID06 Брегово;3926;3762;1;79;24;1;7;52;
VID09 Видин;47847;43742;52;2585;302;20;122;1024;
VID15 Грамада;1345;1310;-;7;11;-;2;15;
VID16 Димово;4810;4265;6;327;17;-;10;185;
VID22 Кула;3292;3170;6;58;12;-;-;46;
VID25 Макреш;1067;1004;1;47;4;-;1;10;
VID30 Ново село;2375;2294;2;20;17;-;2;40;
VID33 Ружинци;3299;2677;7;511;3;4;13;84;
VID37 Чупрене;1635;1244;2;346;7;-;2;34;
VRC Враца;152813;142732;205;5311;610;229;920;2806;
VRC05 Борован;4839;4600;2;86;8;8;20;115;
VRC08 Бяла Слатина;19876;17865;54;1210;50;72;137;488;
VRC10 Враца;61742;58841;41;1325;255;94;216;970;
VRC20 Козлодуй;18015;16323;19;1002;94;16;173;388;
VRC21 Криводол;7638;6758;8;649;19;5;56;143;
VRC27 Мездра;17669;16633;25;389;77;16;271;258;
VRC28 Мизия;5692;5394;2;179;23;10;6;78;
VRC31 Оряхово;8566;8100;47;134;31;6;20;228;
VRC32 Роман;4875;4517;4;220;22;2;19;91;
VRC35 Хайредин;3901;3701;3;117;31;-;2;47;
LOV Ловеч;116394;104818;2536;4520;458;390;1036;2636;
LOV02 Априлци;2786;2746;4;9;5;2;3;17;
LOV17 Летница;3632;3051;439;8;19;2;17;96;
LOV18 Ловеч;38699;35540;1176;539;219;59;456;710;
LOV19 Луковит;15761;12533;93;2061;30;27;223;794;
LOV33 Тетевен;17970;17071;17;381;53;13;111;324;
LOV34 Троян;26884;25219;762;276;86;69;120;352;
LOV36 Угърчин;5035;4596;37;161;15;20;82;124;
LOV38 Ябланица;5627;4062;8;1085;31;198;24;219;
MON Монтана;119950;100593;126;9686;493;240;473;8339;
MON02 Берковица;14501;11904;13;1437;69;-;20;1058;
MON04 Бойчиновци;7712;6653;5;454;35;11;55;499;
MON07 Брусарци;4096;3591;5;232;15;5;10;238;
MON11 Вълчедръм;7698;6331;11;468;22;139;35;692;
MON12 Вършец;6927;5128;9;1442;31;2;6;309;
MON14 Георги Дамяново;2018;1911;1;9;9;-;1;87;
MON24 Лом;21248;16366;29;2328;82;14;53;2376;
MON26 Медковец;3085;2227;4;605;2;4;4;239;
MON29 Монтана;46271;40954;46;2295;203;50;262;2461;
MON36 Чипровци;2859;2699;-;2;16;7;8;127;
MON38 Якимово;3535;2829;3;414;9;8;19;253;
PVN Плевен;226120;199213;4284;5426;1171;354;745;14927;
PVN03 Белене;7803;7146;182;61;33;1;11;369;
PVN08 Гулянци;9540;8770;29;50;42;2;5;642;
PVN10 Долна Митрополия;16816;14187;196;1274;71;30;48;1010;
PVN11 Долни Дъбник;9956;8529;125;540;38;15;27;682;
PVN23 Искър;5686;5203;18;54;21;1;32;357;
PVN39 Кнежа;12937;11688;13;410;35;76;100;615;
PVN16 Левски;15426;13504;541;400;80;7;40;854;
PVN21 Никопол;6958;4830;1568;55;47;58;21;379;
PVN24 Плевен;113131;100211;1523;2162;712;147;385;7991;
PVN27 Пордим;4892;4455;63;1;15;4;18;336;
PVN37 Червен бряг;22975;20690;26;419;77;13;58;1692;
BG32 Северен централен;700234;500475;128996;16365;6178;1175;5411;41634;
VTR Велико Търново;207371;174457;11522;3601;1808;405;1386;14192;
VTR04 Велико Търново;76718;67123;2309;118;667;67;439;5995;
VTR06 Горна Оряховица;38456;32897;1457;682;158;36;430;2796;
VTR13 Елена;7737;5436;1015;730;56;42;66;392;
VTR14 Златарица;3363;2407;502;85;127;7;12;223;
VTR20 Лясковец;11468;10420;209;57;88;10;59;625;
VTR22 Павликени;18737;15358;1385;371;243;16;63;1301;
VTR26 Полски Тръмбеш;11169;8323;1317;617;113;114;72;613;
VTR28 Свищов;27595;24072;1485;160;181;58;139;1500;
VTR31 Стражица;10128;6952;1560;752;144;51;85;584;
VTR32 Сухиндол;2000;1469;283;29;31;4;21;163;
GAB Габрово;98387;89460;4712;691;935;157;686;1746;
GAB05 Габрово;51881;49904;294;131;367;36;308;841;
GAB12 Дряново;7650;6706;356;200;208;27;49;104;
GAB29 Севлиево;29676;23975;4015;324;301;91;295;675;
GAB35 Трявна;9180;8875;47;36;59;3;34;126;
RAZ Разград;103223;39653;51560;3277;669;244;1163;6657;
RAZ11 Завет;8046;888;6307;234;31;16;140;430;
RAZ14 Исперих;19138;4005;12519;975;33;20;84;1502;
RAZ16 Кубрат;14228;4248;7405;1397;43;44;162;929;
RAZ17 Лозница;7699;3102;3890;47;159;7;28;466;
RAZ26 Разград;43658;25787;13742;437;305;69;552;2766;
RAZ29 Самуил;5885;505;4550;186;76;85;163;320;
RAZ36 Цар Калоян;4569;1118;3147;1;22;3;34;244;
RSE Русе;193483;146537;23836;6630;1900;274;1650;12656;
RSE03 Борово;4068;2582;895;255;24;2;2;308;
RSE04 Бяла;10536;7922;873;1052;97;12;64;516;
RSE05 Ветово;9952;2104;5045;1707;346;16;64;670;
RSE08 Две могили;7018;3477;2151;821;50;12;137;370;
RSE13 Иваново;7651;5611;1337;176;49;3;49;426;
RSE27 Русе;141356;117537;9807;1732;1222;174;1152;9732;
RSE33 Сливо поле;8552;3780;3416;575;82;45;168;486;
RSE37 Ценово;4350;3524;312;312;30;10;14;148;
SLS Силистра;97770;50368;37366;2166;866;95;526;6383;
SLS01 Алфатар;2278;1516;378;251;14;1;5;113;
SLS07 Главиница;8864;1833;6355;79;10;25;91;471;
SLS10 Дулово;24201;3295;18037;542;410;10;58;1849;
SLS15 Кайнарджа;3950;888;2304;467;24;6;10;251;
SLS31 Силистра;41766;33554;4361;588;263;39;198;2763;
SLS32 Ситово;4533;1604;2488;77;61;10;15;278;
SLS34 Тутракан;12178;7678;3443;162;84;4;149;658;
BG33 Североизточен;831953;576730;131140;29447;12849;1851;7706;72230;
VAR Варна;432198;342065;27898;8048;8740;904;4141;40402;
VAR01 Аврен;8297;5342;927;398;343;92;668;527;
VAR02 Аксаково;19499;16307;203;370;737;14;55;1813;
VAR04 Белослав;9870;8192;800;132;94;28;90;534;
VAR05 Бяла;3006;2257;192;154;170;1;14;218;
VAR06 Варна;319613;268781;9434;1340;6118;490;2529;30921;
VAR08 Ветрино;4508;2883;1064;150;112;-;34;265;
VAR09 Вълчи дол;7608;4336;1485;649;71;64;119;884;
VAR14 Девня;7230;5646;412;408;97;7;50;610;
VAR13 Долни чифлик;15666;8770;4579;264;364;73;164;1452;
VAR16 Дългопол;12208;4703;5235;1567;56;22;27;598;
VAR24 Провадия;18202;11214;2124;2437;146;57;142;2082;
VAR26 Суворово;6491;3634;1443;179;432;56;249;498;
DOB Добрич;150146;105702;21514;7694;2368;179;885;11804;
DOB03 Балчик;15958;10658;2146;809;617;20;63;1645;
DOB12 Генерал Тошево;11114;7733;1756;616;285;12;48;664;
DOB15 Добрич-селска;16764;9054;3862;1409;633;15;156;1635;
DOB28 Добрич;73895;60606;5668;1111;513;84;365;5548;
DOB17 Каварна;13308;8897;438;2780;213;23;67;890;
DOB20 Крушари;3146;814;1896;133;6;4;8;285;
DOB27 Тервел;11951;4373;5701;785;53;12;108;919;
DOB29 Шабла;4010;3567;47;51;48;9;70;218;
TGV Търговище;98144;47607;35457;4996;622;314;1413;7735;
TGV02 Антоново;4606;1162;2166;954;21;19;17;267;
TGV22 Омуртаг;16144;2643;10324;1481;108;15;214;1359;
TGV23 Опака;5487;963;4331;3;8;5;10;167;
TGV24 Попово;22834;15434;4349;584;217;178;446;1626;
TGV35 Търговище;49073;27405;14287;1974;268;97;726;4316;
SHU Шумен;151465;81356;46271;8709;1119;454;1267;12289;
SHU23 Велики Преслав;10424;6531;2462;566;96;16;101;652;
SHU07 Венец;6103;235;4949;152;1;86;78;602;
SHU10 Върбица;7724;1382;4105;1489;28;14;95;611;
SHU18 Каолиново;10519;416;7948;871;20;110;87;1067;
SHU19 Каспичан;6408;4125;1117;657;79;8;33;389;
SHU21 Никола Козлево;5262;951;3057;709;81;39;26;399;
SHU22 Нови пазар;14702;7703;4174;1479;92;56;33;1165;
SHU25 Смядово;5502;3393;1200;492;79;10;18;310;
SHU11 Хитрино;5654;581;4221;50;5;13;27;757;
SHU30 Шумен;79167;56039;13038;2244;638;102;769;6337;
BG34 Югоизточен;959176;705452;77239;60719;11092;2173;7434;95067;
BGS Бургас;380286;271756;48765;13702;6565;1103;4044;34351;
BGS01 Айтос;25481;11130;9114;1439;103;46;377;3272;
BGS04 Бургас;196582;167783;5314;1265;3285;232;1796;16907;
BGS08 Камено;9545;7179;363;511;190;9;158;1135;
BGS09 Карнобат;20840;15535;1957;1082;324;96;123;1723;
BGS12 Малко Търново;2628;1981;37;330;24;6;10;240;
BGS15 Несебър;23760;17358;969;559;1283;48;440;3103;
BGS17 Поморие;25406;15879;4837;824;631;45;392;2798;
BGS27 Приморско;5618;4435;50;533;80;13;13;494;
BGS18 Руен;26385;1089;21646;2076;19;217;69;1269;
BGS21 Созопол;11984;8786;363;947;202;246;542;898;
BGS06 Средец;13145;9374;105;2266;189;15;33;1163;
BGS23 Сунгурларе;10583;4798;3990;765;144;126;54;706;
BGS13 Царево;8329;6429;20;1105;91;4;37;643;
