;брой;брой;брой;брой;брой;брой;брой;брой;брой;брой;брой;брой;
;2011;2011;2011;2011;2011;2011;2021;2021;2021;2021;2021;2021;
;Общо;Висше образование;Средно образование;Основно;Начално и по-ниско образование;Дете до 7 години вкл., което още не посещава училище;Общо;Висше образование;Средно образование;Основно;Начално и по-ниско образование;Дете до 7 години вкл., което още не посещава училище;
Общо за страната;6891177;1348650;2990424;1591348;946457;14298;6110165;1560028;2878386;1001825;666747;3179;
Северна и Югоизточна България;3510191;577816;1507405;888148;529449;7373;2987248;649631;1443390;543577;348961;1689;
Северозападен;797429;118017;365450;204619;107750;1593;651557;125562;348009;111259;66508;219;
Видин;95587;13247;43397;26332;12381;230;71783;12782;40248;12126;6596;31;
Белоградчик;6187;790;2819;1514;1060;4;4777;729;2547;859;638;4;
Бойница;1322;63;480;541;238;0;746;57;408;246;35;-;
Брегово;5303;615;2281;1545;859;3;3758;596;2114;644;400;4;
Видин;59754;10085;28720;14368;6432;149;45642;9737;26096;6223;3569;17;
Грамада;1927;145;837;714;229;2;1297;132;737;314;114;-;
Димово;6058;366;2227;2355;1080;30;4476;365;2216;1285;607;3;
Кула;4534;468;2070;1418;569;9;3155;431;1890;627;207;-;
Макреш;1582;109;608;684;180;1;1035;82;721;163;68;1;
Ново село;2878;240;1030;1141;465;2;2279;278;1265;557;179;-;
Ружинци;4087;238;1588;1410;830;21;3091;230;1508;816;536;1;
Чупрене;1955;128;737;642;439;9;1527;145;746;392;243;1;
Враца;175744;26186;81887;44715;22579;377;143476;28529;76310;24321;14276;40;
Борован;5278;304;2013;1962;982;17;4435;307;2197;1206;721;4;
Бяла Слатина;22912;2424;9966;6891;3566;65;18567;2456;9491;4221;2397;2;
Враца;69554;14361;34783;13277;6996;137;58101;15200;31211;7033;4644;13;
Козлодуй;19768;3370;8592;4537;3229;40;16693;4264;7858;2669;1900;2;
Криводол;8865;514;3150;3557;1624;20;7167;611;3410;2070;1074;2;
Мездра;20626;2785;10875;4816;2121;29;16753;3041;10344;2087;1275;6;
Мизия;7179;517;3297;2363;989;13;5404;648;3049;1224;479;4;
Оряхово;10879;969;4449;3834;1601;26;8095;986;4102;2027;976;4;
Роман;5900;602;2795;1698;783;22;4576;623;2546;887;518;2;
Хайредин;4783;340;1967;1780;688;8;3685;393;2102;897;292;1;
Ловеч;132959;20646;60629;32965;18477;242;109658;21657;57829;18628;11501;43;
Априлци;3225;411;1572;960;281;1;2697;544;1567;439;147;-;
Летница;3520;351;1304;1145;711;9;3389;361;1709;814;499;6;
Ловеч;47291;10023;23314;9251;4639;64;36890;9898;20281;4009;2691;11;
Луковит;16501;1666;6233;4466;4078;58;14410;1777;6820;3037;2766;10;
Тетевен;19920;2059;8320;6173;3338;30;16904;2298;8449;4229;1924;4;
Троян;30803;5141;15584;7312;2725;41;25593;5646;14515;3761;1668;3;
Угърчин;6070;450;2199;2091;1313;17;4673;513;2290;1139;727;4;
Ябланица;5629;545;2103;1567;1392;22;5102;620;2198;1200;1079;5;
Монтана;139634;17068;63538;38595;20165;268;113450;18460;61910;20773;12270;37;
Берковица;17717;2112;7490;5072;3011;32;13788;2274;7200;2819;1494;1;
Бойчиновци;8716;477;3420;3173;1632;14;7241;495;3908;1917;920;1;
Брусарци;4831;273;1949;1861;742;6;3888;303;2185;980;419;1;
Вълчедръм;9331;519;3197;3652;1937;26;7191;551;3566;2071;1000;3;
Вършец;7633;819;2997;2221;1584;12;6471;963;3093;1295;1117;3;
Георги Дамяново;2705;204;1141;1017;341;2;1967;260;1186;404;115;2;
Лом;26572;3372;12305;7268;3591;36;20196;3397;11271;3625;1890;13;
Медковец;3823;264;1295;1559;692;13;2896;272;1339;789;495;1;
Монтана;50613;8551;26614;9806;5527;115;43715;9408;24880;5276;4140;11;
Чипровци;3624;280;1710;1238;394;2;2784;317;1679;576;212;-;
Якимово;4069;197;1420;1728;714;10;3313;220;1603;1021;468;1;
Плевен;253505;40870;115999;62012;34148;476;213190;44134;111712;35411;21865;68;
Белене;9820;1121;4557;2868;1264;10;7508;1186;4258;1462;600;2;
Гулянци;11768;692;4461;4604;1990;21;9126;809;4936;2559;821;1;
Долна Митрополия;18950;1198;7527;6893;3299;33;15803;1517;8413;3949;1921;3;
Долни Дъбник;10866;874;4421;3289;2253;29;9259;1110;4791;1960;1393;5;
Искър;6476;445;2674;2328;1020;9;5357;527;2815;1350;660;5;
Кнежа;12949;1361;5688;3735;2142;23;12031;1636;6757;2238;1385;15;
Левски;18901;1919;7912;5966;3078;26;14677;2005;7601;3330;1734;7;
Никопол;8843;575;3037;3379;1838;14;6688;633;2970;2232;851;2;
Плевен;122745;29364;60855;19969;12310;247;106569;31253;54721;11023;9550;22;
Пордим;6061;455;2543;2195;859;9;4639;464;2579;1100;495;1;
Червен бряг;26126;2866;12324;6786;4095;55;21533;2994;11871;4208;2455;5;
Северен централен;812198;132771;358175;210607;109327;1318;661927;144249;325210;124570;67664;234;
Велико Търново;244522;44798;116508;56306;26546;364;195819;47947;99592;30806;17398;76;
Велико Търново;83851;22422;42292;13105;5926;106;72016;24797;34914;6915;5366;24;
Горна Оряховица;44049;7933;21636;9893;4515;72;36487;8296;19838;5302;3038;13;
Елена;8864;963;3669;2660;1556;16;7287;1208;3515;1757;806;1;
Златарица;3739;262;1436;1240;796;5;3149;306;1485;855;503;-;
Лясковец;12712;1528;6657;3250;1258;19;10926;1935;6630;1586;772;3;
Павликени;22603;2736;9437;7142;3250;38;17778;2842;9209;3964;1757;6;
Полски Тръмбеш;13625;1131;5059;5064;2346;25;10585;1256;5171;2844;1310;4;
Свищов;40911;6818;21202;9230;3612;49;26334;6148;13663;4511;2004;8;
Стражица;11767;780;4056;3983;2921;27;9370;918;4157;2657;1622;16;
Сухиндол;2401;225;1064;739;366;7;1887;241;1010;415;220;1;
Габрово;116406;21605;58537;25559;10544;161;93503;22939;51046;12537;6955;26;
Габрово;61998;13699;32558;11272;4397;72;49451;14220;26856;5132;3230;13;
Дряново;9200;1490;4501;2161;1040;8;7325;1662;4044;1022;595;2;
Севлиево;33916;4688;15641;9317;4202;68;27897;5235;14867;5154;2633;8;
Трявна;11292;1728;5837;2809;905;13;8830;1822;5279;1229;497;3;
Разград;117381;13611;41215;39213;23136;206;97369;15309;41578;27283;13163;36;
Завет;9961;495;2665;4065;2717;19;7600;648;2753;2784;1413;2;
Исперих;21158;1838;6353;7682;5253;32;17923;2125;6989;5876;2923;10;
Кубрат;17280;1462;5131;6567;4093;27;13503;1478;5199;4700;2119;7;
Лозница;8680;417;2870;3390;1988;15;7311;617;3272;2411;1008;3;
Разград;47854;8791;20789;12126;6060;88;41131;9680;19667;7696;4076;12;
Самуил;6592;238;1629;2853;1859;13;5558;335;1942;2139;1141;1;
Цар Калоян;5856;370;1778;2530;1166;12;4343;426;1756;1677;483;1;
Русе;221721;39469;100487;55599;25790;376;183026;43109;91560;31364;16930;63;
Борово;5821;272;1718;2541;1275;15;3897;279;1651;1471;493;3;
Бяла;12668;1571;5046;3773;2256;22;9985;1642;4786;2252;1299;6;
Ветово;11656;604;3518;4570;2950;14;9372;726;3727;3310;1606;3;
Две могили;8952;628;3092;3306;1915;11;6690;747;3119;1831;993;-;
Иваново;9075;668;3393;3644;1353;17;7397;987;3688;2075;647;-;
Русе;157617;34932;78567;30862;12975;281;133402;37676;69087;16347;10243;49;
Сливо поле;10225;473;3226;4494;2021;11;8119;627;3503;2766;1221;2;
Ценово;5707;321;1927;2409;1045;5;4164;425;1999;1312;428;-;
Силистра;112168;13288;41428;33930;23311;211;92210;14945;41434;22580;13218;33;
Алфатар;2883;174;1048;933;725;3;2167;213;1054;568;332;-;
Главиница;10294;580;2735;3879;3072;28;8368;712;3042;2925;1680;9;
Дулово;26142;1773;7454;9535;7314;66;22564;2303;8512;7314;4424;11;
Кайнарджа;4446;110;845;1413;2053;25;3527;120;869;1295;1241;2;
Силистра;48745;9087;22622;11002;5976;58;39696;9629;20813;5982;3264;8;
Ситово;5100;221;1529;2027;1312;11;4296;328;1949;1304;714;1;
Тутракан;14558;1343;5195;5141;2859;20;11592;1640;5195;3192;1563;2;
Североизточен;899749;166346;364678;225381;141472;1872;780502;191275;353120;144423;91193;491;
Варна;440803;104528;190434;88685;56295;861;403335;123625;181899;55848;41766;197;
Аврен;7851;624;2480;2791;1948;8;7819;1234;3376;1961;1246;2;
Аксаково;18814;1864;7266;6365;3268;51;18155;3020;8701;4398;2027;9;
Белослав;10248;703;4793;3384;1353;15;9254;1058;5174;2103;918;1;
Бяла;3006;235;1120;843;804;4;2833;444;1330;622;437;-;
Варна;319276;96060;147699;46575;28384;558;297903;111414;133251;27449;25639;150;
Ветрино;5183;260;1843;2111;966;3;4337;385;2178;1313;461;-;
Вълчи дол;9486;531;2815;3608;2506;26;7172;627;3234;2099;1208;4;
Девня;8058;311;3405;2903;1418;21;6759;508;3617;1759;870;5;
Долни чифлик;17573;857;4973;6378;5293;72;14511;1160;5591;4590;3157;13;
Дългопол;13302;675;3377;5228;3982;40;11461;868;4232;4095;2264;2;
Провадия;21331;1986;8274;6269;4757;45;17067;2194;8239;3975;2650;9;
Суворово;6675;422;2389;2230;1616;18;6064;713;2976;1484;889;2;
Добрич;177216;24293;68038;50880;33596;409;141744;26454;65099;31073;19018;100;
Балчик;18894;2143;7057;5502;4147;45;15063;2755;7004;3304;1989;11;
Генерал Тошево;14237;1118;4580;4996;3513;30;10563;1313;4489;3003;1752;6;
Добрич-селска;20534;676;4993;8606;6189;70;15696;1132;5880;5554;3120;10;
Добрич;85242;17058;39288;19075;9652;169;69917;17472;35201;10825;6389;30;
Каварна;14343;1707;5315;3779;3506;36;12521;1961;5420;2709;2399;32;
Крушари;4198;145;836;1698;1508;11;2932;117;907;1104;802;2;
Тервел;14934;971;3951;5665;4303;44;11206;1077;4229;3684;2208;8;
Шабла;4834;475;2018;1559;778;4;3846;627;1969;890;359;1;
Търговище;112939;12987;41887;36341;21460;264;92613;14335;42162;24117;11894;105;
Антоново;5840;302;1616;1975;1935;12;4369;315;1689;1441;917;7;
Омуртаг;20349;1254;5588;8108;5347;52;15408;1417;5597;5756;2628;10;
Опака;6253;269;1916;2798;1259;11;5190;339;2206;2086;555;4;
Попово;27103;3115;10986;8685;4268;49;21655;3330;10858;5019;2418;30;
Търговище;53394;8047;21781;14775;8651;140;45991;8934;21812;9815;5376;54;
