;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;
;м3;м3;м3;м3;м3;м3;м3;м3;м3;м3;м3;м3;м3;м3;м3;м3;м3;м3;м3;м3;м3;м3;м3;м3;м3;
Общо за страната;26805649;26542731;25862470;23755768;35368662;25233656;26334772;21896950;25792524;23659943;18557893;18132432;13618234;11391118;15078576;16281276;14556798;13226948;16311964;16429214;15592928;15769001;14458586;14529536;12828048;
Северна и Югоизточна България;20419502;20459890;20428088;16902997;15847520;11676882;13663110;11190250;15007968;14641425;11558726;11561669;8071638;7400671;7590148;7479262;7300380;7082756;8670159;8021853;7477654;7915887;6707543;5958644;5078606;
Северозападен;3416176;2763714;3411468;3011829;3474111;2383326;3595694;3248564;2469226;2602089;1245614;1377689;1194068;1862290;1850040;2379678;2330199;3509298;3342189;3272790;2939389;2779388;2575716;2193146;1947170;
Видин;365227;332350;309850;254800;185921;216189;399693;358293;276789;205962;112349;45942;38752;32000;27620;24720;323187;379048;379048;379048;379048;237600;202046;182143;220773;
Враца;1545617;826964;647035;599696;585413;573985;585490;723327;227254;573753;513225;137214;95433;237446;196446;34124;15707;30860;18449;375680;1;138668;93861;76403;69666;
Ловеч;664901;664901;664901;658901;655001;484672;384123;164234;192934;319129;223566;199457;328218;306399;438709;1194816;1167502;1394756;1374741;1106650;1379798;1356708;1287936;1236727;1077516;
Монтана;103515;97759;99523;97530;969136;51655;14118;7304;5673;20511;2277;705654;659133;616882;577420;536407;497504;461154;415165;378863;341728;303898;341728;226648;188516;
Плевен;736916;841740;1690159;1400902;1078640;1056825;2212270;1995406;1766576;1482735;394197;289422;72532;669563;609845;589610;326299;1243480;1154786;1032550;838814;742514;650145;471225;390699;
Северен централен;8590679;9439880;9225278;8619274;8584462;4059340;3617644;3665130;9016621;9080191;4720196;4119157;3698393;3402370;3538676;3138512;2882116;2029156;2055614;2311029;2448482;2879578;2067979;1808808;1553926;
Велико Търново;.;.;.;.;.;783530;886776;664373;653091;414281;421661;280765;154414;40285;54810;28476;23994;20865;251225;0;124229;80301;30778;6126;0;
Габрово;1036000;968862;892182;983015;941715;867517;747988;819902;1617219;1577665;1438768;1382263;1313932;1267826;1225169;1170584;1081074;1019354;992136;967271;949262;1609081;971864;809707;704124;
Разград;6996787;6749952;6702846;6010009;5947812;339249;204555;74687;92878;449529;432433;337233;269286;244504;225339;191539;147169;100353;53378;53378;86987;38527;0;0;0;
Русе;557892;1721066;1630250;1626250;1694935;1936952;1585086;1769811;1170355;1682557;1658853;1392307;1272607;1208101;1283358;1022914;929878;217724;128874;715380;753005;651669;565337;492975;410802;
Силистра;.;.;.;.;.;132092;193239;336357;5483078;4956159;768480;726589;688154;641654;750000;725000;700000;670860;630000;575000;535000;500000;500000;500000;439000;
Североизточен;2405339;2189958;1879382;918244;879171;2506189;2351896;2502879;2280563;1738476;3567119;2871958;1295964;1150095;1046849;982463;882132;1114967;1416132;966808;747978;664818;842262;805431;631605;
Варна;312719;299794;22176;18956;15797;1686290;1703326;1217965;849227;496572;935584;364461;314566;319846;375813;287139;260886;546365;527810;260450;209373;219022;190211;90164;164;
