;брой;брой;брой;брой;брой;брой;брой;брой;брой;брой;брой;брой;брой;брой;брой;
;Общо;Общо;Общо;Работна сила;Работна сила;Работна сила;Заети;Заети;Заети;Безработни;Безработни;Безработни;Лица извън работната сила;Лица извън работната сила;Лица извън работната сила;
;Общо;Мъже;Жени;Общо;Мъже;Жени;Общо;Мъже;Жени;Общо;Мъже;Жени;Общо;Мъже;Жени;
Общо за страната;5602067;2664534;2937533;2953937;1521571;1432366;2661292;1362083;1299209;292645;159488;133157;2648130;1142963;1505167;
Северна и Югоизточна България;2737530;1305903;1431627;1363937;711760;652177;1198523;621761;576762;165414;89999;75415;1373593;594143;779450;
Северозападен;600342;288224;312118;278148;144826;133322;237109;121988;115121;41039;22838;18201;322194;143398;178796;
Видин;66740;31903;34837;28529;14901;13628;22888;11757;11131;5641;3144;2497;38211;17002;21209;
Белоградчик;4395;2105;2290;2092;1088;1004;1458;748;710;634;340;294;2303;1017;1286;
Бойница;731;322;409;173;95;78;162;89;73;11;6;5;558;227;331;
Брегово;3586;1810;1776;1249;691;558;857;446;411;392;245;147;2337;1119;1218;
Видин;42402;20141;22261;19514;10035;9479;16746;8499;8247;2768;1536;1232;22888;10106;12782;
Грамада;1230;593;637;413;230;183;259;142;117;154;88;66;817;363;454;
Димово;4064;1970;2094;1187;655;532;778;428;350;409;227;182;2877;1315;1562;
Кула;2988;1419;1569;1299;687;612;989;524;465;310;163;147;1689;732;957;
Макреш;988;471;517;141;72;69;124;65;59;17;7;10;847;399;448;
Ново село;2158;1028;1130;684;386;298;507;276;231;177;110;67;1474;642;832;
Ружинци;2777;1339;1438;1142;604;538;637;326;311;505;278;227;1635;735;900;
Чупрене;1421;705;716;635;358;277;371;214;157;264;144;120;786;347;439;
Враца;131420;63255;68165;63091;32578;30513;52559;26674;25885;10532;5904;4628;68329;30677;37652;
Борован;3966;1941;2025;1735;921;814;943;489;454;792;432;360;2231;1020;1211;
Бяла Слатина;16713;8089;8624;6792;3560;3232;4809;2436;2373;1983;1124;859;9921;4529;5392;
Враца;53478;25411;28067;27008;13524;13484;24508;12068;12440;2500;1456;1044;26470;11887;14583;
Козлодуй;15130;7356;7774;8655;4494;4161;7216;3754;3462;1439;740;699;6475;2862;3613;
Криводол;6542;3181;3361;2466;1330;1136;1764;948;816;702;382;320;4076;1851;2225;
Мездра;15538;7535;8003;7901;4127;3774;7069;3624;3445;832;503;329;7637;3408;4229;
Мизия;5022;2430;2592;2154;1176;978;1742;951;791;412;225;187;2868;1254;1614;
Оряхово;7451;3604;3847;3215;1744;1471;2214;1199;1015;1001;545;456;4236;1860;2376;
Роман;4175;2047;2128;1827;983;844;1399;727;672;428;256;172;2348;1064;1284;
Хайредин;3405;1661;1744;1338;719;619;895;478;417;443;241;202;2067;942;1125;
Ловеч;100776;48453;52323;44458;23020;21438;39098;19992;19106;5360;3028;2332;56318;25433;30885;
Априлци;2561;1219;1342;1140;610;530;1016;533;483;124;77;47;1421;609;812;
Летница;3087;1514;1573;1253;688;565;842;456;386;411;232;179;1834;826;1008;
Ловеч;34363;16238;18125;15617;7902;7715;14521;7299;7222;1096;603;493;18746;8336;10410;
Луковит;12657;6174;6483;4357;2253;2104;3521;1820;1701;836;433;403;8300;3921;4379;
Тетевен;15481;7526;7955;6717;3494;3223;5732;2890;2842;985;604;381;8764;4032;4732;
Троян;23955;11502;12453;11965;6191;5774;11124;5719;5405;841;472;369;11990;5311;6679;
Угърчин;4235;2109;2126;1521;854;667;1055;579;476;466;275;191;2714;1255;1459;
Ябланица;4437;2171;2266;1888;1028;860;1287;696;591;601;332;269;2549;1143;1406;
Монтана;104674;50491;54183;49267;26160;23107;41518;21802;19716;7749;4358;3391;55407;24331;31076;
Берковица;12832;6126;6706;4886;2534;2352;4625;2376;2249;261;158;103;7946;3592;4354;
Бойчиновци;6639;3332;3307;2747;1622;1125;2008;1195;813;739;427;312;3892;1710;2182;
Брусарци;3625;1769;1856;1462;778;684;912;481;431;550;297;253;2163;991;1172;
Вълчедръм;6559;3206;3353;3063;1719;1344;1700;981;719;1363;738;625;3496;1487;2009;
Вършец;5852;2830;3022;2293;1222;1071;2081;1089;992;212;133;79;3559;1608;1951;
Георги Дамяново;1911;954;957;580;347;233;488;290;198;92;57;35;1331;607;724;
Лом;18755;8888;9867;8651;4549;4102;7425;3893;3532;1226;656;570;10104;4339;5765;
Медковец;2671;1284;1387;1168;634;534;764;424;340;404;210;194;1503;650;853;
Монтана;40174;19345;20829;22241;11499;10742;20053;10232;9821;2188;1267;921;17933;7846;10087;
Чипровци;2683;1306;1377;939;536;403;694;370;324;245;166;79;1744;770;974;
Якимово;2973;1451;1522;1237;720;517;768;471;297;469;249;220;1736;731;1005;
Плевен;196732;94122;102610;92803;48167;44636;81046;41763;39283;11757;6404;5353;103929;45955;57974;
Белене;7114;3672;3442;3078;1642;1436;2742;1481;1261;336;161;175;4036;2030;2006;
Гулянци;8595;4181;4414;3186;1765;1421;2602;1421;1181;584;344;240;5409;2416;2993;
Долна Митрополия;14674;7145;7529;5765;3129;2636;4610;2474;2136;1155;655;500;8909;4016;4893;
Долни Дъбник;8443;4060;4383;3390;1839;1551;2743;1462;1281;647;377;270;5053;2221;2832;
Искър;4932;2420;2512;1818;991;827;1387;771;616;431;220;211;3114;1429;1685;
Кнежа;11015;5291;5724;4931;2566;2365;3313;1716;1597;1618;850;768;6084;2725;3359;
Левски;13701;6533;7168;5608;2998;2610;4838;2594;2244;770;404;366;8093;3535;4558;
Никопол;6310;3045;3265;2270;1282;988;1836;1046;790;434;236;198;4040;1763;2277;
Плевен;97845;45998;51847;52254;26284;25970;48246;24137;24109;4008;2147;1861;45591;19714;25877;
Пордим;4332;2099;2233;1520;843;677;1321;725;596;199;118;81;2812;1256;1556;
Червен бряг;19771;9678;10093;8983;4828;4155;7408;3936;3472;1575;892;683;10788;4850;5938;
