;2021;2021;2021;2021;2021;2021;2021;2021;2021;
;брой;брой;брой;брой;брой;брой;брой;брой;брой;
;Общо;Много добро;Добро;Задоволително;Лошо;Много лошо;Не мога да определя;Не желая да отговоря;Непоказано;
Общо за страната;6519789;1558163;2700039;1086981;221988;46819;77354;211764;616681;
Северна и Югоизточна България;3182048;742913;1355139;569105;123696;26115;37130;88672;239278;
Северозападен;690685;158543;299367;135966;34560;7354;7703;16845;30347;
Видин;75408;19295;31568;15607;4002;827;726;1744;1639;
Белоградчик;5049;824;2785;951;179;37;47;80;146;
Бойница;763;83;238;264;141;26;4;4;3;
Брегово;3926;783;1484;1077;367;65;56;42;52;
Видин;47847;12677;20118;9440;2149;485;525;1429;1024;
Грамада;1345;271;535;382;93;23;12;14;15;
Димово;4810;2316;1273;811;140;36;7;42;185;
Кула;3292;650;1382;801;256;74;21;62;46;
Макреш;1067;350;417;187;74;12;10;7;10;
Ново село;2375;430;1013;636;201;10;25;20;40;
Ружинци;3299;791;1390;680;266;37;14;37;84;
Чупрене;1635;120;933;378;136;22;5;7;34;
Враца;152813;33203;70970;29543;7686;1647;1960;4998;2806;
Борован;4839;893;2442;806;351;72;51;109;115;
Бяла Слатина;19876;4197;9323;3981;992;233;202;460;488;
Враца;61742;14106;27286;12359;3003;724;921;2373;970;
Козлодуй;18015;3912;9539;2723;476;90;308;579;388;
Криводол;7638;1317;3212;1697;627;108;62;472;143;
Мездра;17669;4242;7623;3597;942;194;201;612;258;
Мизия;5692;970;3005;1209;284;38;38;70;78;
Оряхово;8566;1165;4900;1591;419;64;65;134;228;
Роман;4875;1440;1818;950;359;83;52;82;91;
Хайредин;3901;961;1822;630;233;41;60;107;47;
Ловеч;116394;28219;52796;22627;4978;990;1304;2844;2636;
Априлци;2786;531;1254;753;143;26;21;41;17;
Летница;3632;1233;1540;585;116;17;7;38;96;
Ловеч;38699;8335;17428;8191;1831;366;582;1256;710;
Луковит;15761;4564;6641;2441;596;125;104;496;794;
Тетевен;17970;4048;8708;3522;797;184;144;243;324;
Троян;26884;6503;12395;5419;1029;202;336;648;352;
Угърчин;5035;1372;2163;939;257;48;69;63;124;
Ябланица;5627;1633;2667;777;209;22;41;59;219;
Монтана;119950;24242;51409;24263;6294;1451;1220;2732;8339;
Берковица;14501;3049;5271;3790;787;268;73;205;1058;
Бойчиновци;7712;801;4037;1618;487;103;69;98;499;
Брусарци;4096;889;1606;834;356;97;26;50;238;
Вълчедръм;7698;1479;3618;1276;395;67;100;71;692;
Вършец;6927;772;3902;1382;362;92;37;71;309;
Георги Дамяново;2018;256;769;654;192;38;4;18;87;
Лом;21248;4179;8814;4155;870;206;219;429;2376;
Медковец;3085;606;1138;716;321;34;16;15;239;
Монтана;46271;10759;19674;8412;2148;460;641;1716;2461;
Чипровци;2859;526;1109;830;178;39;12;38;127;
Якимово;3535;926;1471;596;198;47;23;21;253;
Плевен;226120;53584;92624;43926;11600;2439;2493;4527;14927;
Белене;7803;1895;3409;1461;330;66;90;183;369;
