;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;
;Общо;Общо;Общо;Урбанизирана територия;Урбанизирана територия;Урбанизирана територия;Територия на транспорта;Територия на транспорта;Територия на транспорта;Земеделска територия;Земеделска територия;Земеделска територия;Горска територия;Горска територия;Горска територия;Територия, заета от води и водни обекти;Територия, заета от води и водни обекти;Територия, заета от води и водни обекти;Защитена територия;Защитена територия;Защитена територия;Нарушена територия;Нарушена територия;Нарушена територия;Непоказано;Непоказано;Непоказано;Общо;Общо;Общо;Урбанизирана територия;Урбанизирана територия;Урбанизирана територия;Територия на транспорта;Територия на транспорта;Територия на транспорта;Земеделска територия;Земеделска територия;Земеделска територия;Горска територия;Горска територия;Горска територия;Територия, заета от води и водни обекти;Територия, заета от води и водни обекти;Територия, заета от води и водни обекти;Защитена територия;Защитена територия;Защитена територия;Нарушена територия;Нарушена територия;Нарушена територия;Непоказано;Непоказано;Непоказано;Общо;Общо;Общо;Урбанизирана територия;Урбанизирана територия;Урбанизирана територия;Територия на транспорта;Територия на транспорта;Територия на транспорта;Земеделска територия;Земеделска територия;Земеделска територия;Горска територия;Горска територия;Горска територия;Територия, заета от води и водни обекти;Територия, заета от води и водни обекти;Територия, заета от води и водни обекти;Защитена територия;Защитена територия;Защитена територия;Нарушена територия;Нарушена територия;Нарушена територия;Непоказано;Непоказано;Непоказано;Общо;Общо;Общо;Урбанизирана територия;Урбанизирана територия;Урбанизирана територия;Територия на транспорта;Територия на транспорта;Територия на транспорта;Земеделска територия;Земеделска територия;Земеделска територия;Горска територия;Горска територия;Горска територия;Територия, заета от води и водни обекти;Територия, заета от води и водни обекти;Територия, заета от води и водни обекти;Защитена територия;Защитена територия;Защитена територия;Нарушена територия;Нарушена територия;Нарушена територия;Непоказано;Непоказано;Непоказано;
;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;
Общо за страната;11099684.00;110996.84;100.00;513315.86;5133.16;4.62;297578.86;2975.79;2.68;6059877.73;60598.78;54.60;3677308.38;36773.08;33.13;207457.29;2074.57;1.87;154597.75;1545.98;1.39;47055.50;470.56;0.42;142492.62;1424.93;1.28;11099670.79;110996.71;100.00;517354.98;5173.55;4.66;303096.45;3030.96;2.73;6078070.21;60780.70;54.76;3705427.02;37054.27;33.38;208451.53;2084.52;1.88;184204.59;1842.05;1.66;47227.80;472.28;0.43;55838.23;558.38;0.50;11099675.82;110996.76;100.00;527936.99;5279.37;4.76;305550.77;3055.51;2.75;6052412.28;60524.12;54.53;3691009.08;36910.09;33.25;209300.29;2093.00;1.89;227573.57;2275.74;2.05;46419.99;464.20;0.42;39472.86;394.73;0.36;11099676.10;110996.76;100.00;529947.81;5299.48;4.77;308474.56;3084.75;2.78;6048969.80;60489.70;54.50;3692027.94;36920.28;33.26;210478.38;2104.78;1.90;228888.46;2288.88;2.06;46771.34;467.71;0.42;34117.80;341.18;0.31;
Северна и Югоизточна България;6830179.12;68301.79;100.00;343009.55;3430.10;5.02;196047.99;1960.48;2.87;4267409.96;42674.10;62.48;1734815.11;17348.15;25.40;132890.31;1328.90;1.95;66734.54;667.35;0.98;32769.94;327.70;0.48;56501.74;565.02;0.83;6830182.15;68301.82;100.00;344281.27;3442.81;5.04;199732.83;1997.33;2.92;4282470.27;42824.70;62.70;1753225.67;17532.26;25.67;133595.78;1335.96;1.96;69966.17;699.66;1.02;32730.54;327.31;0.48;14179.61;141.80;0.21;6830187.17;68301.87;100.00;347612.58;3476.13;5.09;201529.85;2015.30;2.95;4275247.88;42752.48;62.59;1757357.82;17573.58;25.73;133762.75;1337.63;1.96;72181.10;721.81;1.06;32207.46;322.07;0.47;10287.74;102.88;0.15;6830186.97;68301.87;100.00;347359.32;3473.59;5.09;203620.75;2036.21;2.98;4272394.33;42723.94;62.55;1757372.58;17573.73;25.73;134580.63;1345.81;1.97;72270.75;722.71;1.06;32391.18;323.91;0.47;10197.44;101.97;0.15;
Северозападен;1908647.41;19086.47;100.00;91460.89;914.61;4.79;53590.28;535.90;2.81;1257883.91;12578.84;65.90;400071.07;4000.71;20.96;44500.40;445.00;2.33;34752.97;347.53;1.82;3463.64;34.64;0.18;22924.25;229.24;1.20;1908647.12;19086.47;100.00;91834.62;918.35;4.81;54921.77;549.22;2.88;1268806.33;12688.06;66.48;402901.58;4029.02;21.11;44961.31;449.61;2.36;34743.74;347.44;1.82;3474.22;34.74;0.18;7003.55;70.04;0.37;1908647.12;19086.47;100.00;92191.84;921.92;4.83;55363.88;553.64;2.90;1265870.98;12658.71;66.32;406056.19;4060.56;21.27;45027.15;450.27;2.36;36443.66;364.44;1.91;3508.48;35.08;0.18;4184.94;41.85;0.22;1908646.68;19086.47;100.00;92088.42;920.88;4.82;55830.55;558.31;2.93;1264646.29;12646.46;66.26;406762.56;4067.63;21.31;45189.57;451.90;2.37;36431.93;364.32;1.91;3512.78;35.13;0.18;4184.58;41.85;0.22;
Видин;303914.05;3039.14;100.00;13765.95;137.66;4.53;8260.48;82.60;2.72;190967.70;1909.68;62.84;79901.93;799.02;26.29;7860.83;78.61;2.59;2369.38;23.69;0.78;747.21;7.47;0.25;40.57;0.41;0.01;303914.05;3039.14;100.00;13438.44;134.38;4.42;8597.70;85.98;2.83;190996.71;1909.97;62.85;79873.39;798.73;26.28;7872.24;78.72;2.59;2359.13;23.59;0.78;755.27;7.55;0.25;21.17;0.21;0.01;303914.05;3039.14;100.00;13307.82;133.08;4.38;8801.38;88.01;2.90;190898.38;1908.98;62.81;79897.14;798.97;26.29;7891.53;78.92;2.60;2359.13;23.59;0.78;756.85;7.57;0.25;1.83;0.02;0.00;303914.05;3039.14;100.00;13187.04;131.87;4.34;9018.98;90.19;2.97;190928.08;1909.28;62.82;79730.75;797.31;26.23;7909.81;79.10;2.60;2380.96;23.81;0.78;756.61;7.57;0.25;1.81;0.02;0.00;
Белоградчик;41149.93;411.50;100.00;1054.01;10.54;2.56;514.75;5.15;1.25;17869.10;178.69;43.42;20838.08;208.38;50.64;336.20;3.36;0.82;291.72;2.92;0.71;246.05;2.46;0.60;0.02;0.00;0.00;41149.93;411.50;100.00;1077.01;10.77;2.62;511.09;5.11;1.24;17860.78;178.61;43.40;20833.15;208.33;50.63;336.15;3.36;0.82;280.93;2.81;0.68;250.79;2.51;0.61;0.02;0.00;0.00;41149.93;411.50;100.00;1062.78;10.63;2.58;533.56;5.34;1.30;17846.13;178.46;43.37;20838.09;208.38;50.64;337.66;3.38;0.82;280.93;2.81;0.68;250.79;2.51;0.61;0.00;0.00;0.00;41149.93;411.50;100.00;1065.99;10.66;2.59;533.52;5.34;1.30;17856.02;178.56;43.39;20825.02;208.25;50.61;337.66;3.38;0.82;280.93;2.81;0.68;250.79;2.51;0.61;-;-;0.00;
Бойница;16621.16;166.21;100.00;645.91;6.46;3.89;537.73;5.38;3.24;12443.04;124.43;74.86;2803.93;28.04;16.87;181.72;1.82;1.09;-;-;-;8.39;0.08;0.05;0.42;0.00;0.00;16621.16;166.21;100.00;645.91;6.46;3.89;537.73;5.38;3.24;12443.04;124.43;74.86;2803.93;28.04;16.87;181.72;1.82;1.09;-;-;0.00;8.39;0.08;0.05;0.42;0.00;0.00;16621.16;166.21;100.00;645.91;6.46;3.89;537.73;5.38;3.24;12443.04;124.43;74.86;2803.93;28.04;16.87;181.72;1.82;1.09;-;-;-;8.39;0.08;0.05;0.42;0.00;0.00;16621.16;166.21;100.00;645.91;6.46;3.89;537.73;5.38;3.24;12445.42;124.45;74.88;2801.55;28.02;16.86;181.72;1.82;1.09;-;-;0.00;8.39;0.08;0.05;0.42;0.00;0.00;
Брегово;17960.47;179.60;100.00;1191.47;11.91;6.63;517.30;5.17;2.88;13163.53;131.64;73.29;2537.62;25.38;14.13;517.30;5.17;2.88;1.74;0.02;0.01;31.23;0.31;0.17;0.27;0.00;0.00;17960.47;179.60;100.00;1191.44;11.91;6.63;517.34;5.17;2.88;13163.53;131.64;73.29;2537.62;25.38;14.13;517.30;5.17;2.88;1.74;0.02;0.01;31.23;0.31;0.17;0.27;0.00;0.00;17960.47;179.60;100.00;1190.81;11.91;6.63;520.80;5.21;2.90;13160.78;131.61;73.28;2537.54;25.38;14.13;517.30;5.17;2.88;1.74;0.02;0.01;31.23;0.31;0.17;0.27;0.00;0.00;17960.54;179.61;100.00;1190.92;11.91;6.63;519.01;5.19;2.89;13162.47;131.62;73.29;2537.54;25.38;14.13;517.30;5.17;2.88;1.74;0.02;0.01;31.23;0.31;0.17;0.34;0.00;0.00;
Видин;51358.57;513.59;100.00;4017.68;40.18;7.82;2175.19;21.75;4.24;36263.75;362.64;70.61;5215.06;52.15;10.15;3457.52;34.58;6.73;18.69;0.19;0.04;210.02;2.10;0.41;0.66;0.01;0.00;51358.57;513.59;100.00;3856.39;38.56;7.51;2350.57;23.51;4.58;36263.74;362.64;70.61;5199.32;51.99;10.12;3457.80;34.58;6.73;18.69;0.19;0.04;211.40;2.11;0.41;0.66;0.01;0.00;51358.57;513.59;100.00;3855.27;38.55;7.51;2356.86;23.57;4.59;36259.16;362.59;70.60;5199.20;51.99;10.12;3457.31;34.57;6.73;18.69;0.19;0.04;211.41;2.11;0.41;0.67;0.01;0.00;51358.57;513.59;100.00;3894.20;38.94;7.58;2357.05;23.57;4.59;36215.95;362.16;70.52;5202.81;52.03;10.13;3457.81;34.58;6.73;18.69;0.19;0.04;211.41;2.11;0.41;0.65;0.01;0.00;
Грамада;18484.72;184.85;100.00;750.10;7.50;4.06;562.98;5.63;3.05;13256.30;132.56;71.71;3751.22;37.51;20.29;151.51;1.52;0.82;-;-;-;12.60;0.13;0.07;0.00;0.00;0.00;18484.72;184.85;100.00;779.14;7.79;4.22;545.26;5.45;2.95;13244.30;132.44;71.65;3751.22;37.51;20.29;152.20;1.52;0.82;-;-;0.00;12.60;0.13;0.07;0.00;0.00;0.00;18484.72;184.85;100.00;743.00;7.43;4.02;584.74;5.85;3.16;13240.99;132.41;71.63;3751.17;37.51;20.29;152.21;1.52;0.82;-;-;-;12.60;0.13;0.07;0.00;0.00;0.00;18484.72;184.85;100.00;740.71;7.41;4.01;584.74;5.85;3.16;13244.26;132.44;71.65;3750.21;37.50;20.29;152.21;1.52;0.82;-;-;0.00;12.60;0.13;0.07;-;-;0.00;
Димово;40325.48;403.25;100.00;2017.68;20.18;5.00;1019.77;10.20;2.53;26502.56;265.03;65.72;9695.64;96.96;24.04;1012.05;10.12;2.51;2.15;0.02;0.01;56.10;0.56;0.14;19.53;0.20;0.05;40325.48;403.25;100.00;2019.28;20.19;5.01;1022.01;10.22;2.53;26502.45;265.02;65.72;9695.64;96.96;24.04;1012.05;10.12;2.51;2.15;0.02;0.01;52.37;0.52;0.13;19.53;0.20;0.05;40325.48;403.25;100.00;2019.28;20.19;5.01;1025.20;10.25;2.54;26501.48;265.01;65.72;9712.80;97.13;24.09;1012.05;10.12;2.51;2.15;0.02;0.01;52.37;0.52;0.13;0.16;0.00;0.00;40325.48;403.25;100.00;1852.28;18.52;4.59;1244.62;12.45;3.09;26423.58;264.24;65.53;9714.91;97.15;24.09;1035.09;10.35;2.57;2.71;0.03;0.01;52.13;0.52;0.13;0.16;0.00;0.00;
Кула;28075.59;280.76;100.00;1071.13;10.71;3.82;762.15;7.62;2.71;20108.85;201.09;71.62;5647.32;56.47;20.11;452.74;4.53;1.61;4.17;0.04;0.01;29.22;0.29;0.10;0.00;0.00;0.00;28075.59;280.76;100.00;995.08;9.95;3.54;774.64;7.75;2.76;20172.44;201.72;71.85;5647.22;56.47;20.11;452.80;4.53;1.61;4.17;0.04;0.01;29.23;0.29;0.10;0.00;0.00;0.00;28075.59;280.76;100.00;950.13;9.50;3.38;879.32;8.79;3.13;20104.34;201.04;71.61;5647.22;56.47;20.11;461.17;4.61;1.64;4.17;0.04;0.01;29.23;0.29;0.10;0.00;0.00;0.00;28075.59;280.76;100.00;949.74;9.50;3.38;879.32;8.79;3.13;20105.66;201.06;71.61;5645.97;56.46;20.11;461.49;4.61;1.64;4.17;0.04;0.01;29.23;0.29;0.10;-;-;0.00;
Макреш;22928.28;229.28;100.00;703.01;7.03;3.07;486.76;4.87;2.12;13506.12;135.06;58.91;7925.03;79.25;34.56;254.88;2.55;1.11;-;-;-;52.48;0.52;0.23;0.00;0.00;0.00;22928.28;229.28;100.00;703.30;7.03;3.07;486.76;4.87;2.12;13503.26;135.03;58.89;7925.03;79.25;34.56;257.45;2.57;1.12;-;-;0.00;52.48;0.52;0.23;0.00;0.00;0.00;22928.28;229.28;100.00;703.30;7.03;3.07;486.76;4.87;2.12;13501.20;135.01;58.88;7926.95;79.27;34.57;257.59;2.58;1.12;-;-;-;52.48;0.52;0.23;0.00;0.00;0.00;22928.28;229.28;100.00;703.30;7.03;3.07;486.61;4.87;2.12;13490.71;134.91;58.84;7928.03;79.28;34.58;267.16;2.67;1.17;-;-;0.00;52.48;0.52;0.23;-;-;0.00;
Ново село;10916.95;109.17;100.00;511.15;5.11;4.68;381.44;3.81;3.49;8888.09;88.88;81.42;213.19;2.13;1.95;917.01;9.17;8.40;-;-;-;5.82;0.06;0.05;0.25;0.00;0.00;10916.95;109.17;100.00;511.15;5.11;4.68;381.44;3.81;3.49;8888.09;88.88;81.42;213.19;2.13;1.95;917.01;9.17;8.40;-;-;0.00;5.82;0.06;0.05;0.25;0.00;0.00;10916.95;109.17;100.00;511.66;5.12;4.69;381.19;3.81;3.49;8887.84;88.88;81.41;213.19;2.13;1.95;917.00;9.17;8.40;-;-;-;5.82;0.06;0.05;0.25;0.00;0.00;10916.87;109.17;100.00;511.66;5.12;4.69;381.13;3.81;3.49;8887.90;88.88;81.41;213.19;2.13;1.95;917.00;9.17;8.40;-;-;0.00;5.82;0.06;0.05;0.18;0.00;0.00;
Ружинци;23299.54;233.00;100.00;1165.56;11.66;5.00;731.50;7.31;3.14;16749.09;167.49;71.89;4108.64;41.09;17.63;491.46;4.91;2.11;1.87;0.02;0.01;32.02;0.32;0.14;19.40;0.19;0.08;23299.54;233.00;100.00;1018.11;10.18;4.37;900.44;9.00;3.86;16741.18;167.41;71.85;4100.97;41.01;17.60;499.27;4.99;2.14;1.87;0.02;0.01;37.69;0.38;0.16;0.00;0.00;0.00;23299.54;233.00;100.00;1018.09;10.18;4.37;900.45;9.00;3.86;16739.58;167.40;71.85;4100.97;41.01;17.60;499.27;4.99;2.14;1.87;0.02;0.01;39.26;0.39;0.17;0.04;0.00;0.00;23299.58;233.00;100.00;1024.77;10.25;4.40;900.47;9.00;3.86;16777.97;167.78;72.01;4055.92;40.56;17.41;484.14;4.84;2.08;17.01;0.17;0.07;39.26;0.39;0.17;0.04;0.00;0.00;
Чупрене;32793.37;327.93;100.00;638.24;6.38;1.95;570.90;5.71;1.74;12217.27;122.17;37.26;17166.18;171.66;52.35;88.44;0.88;0.27;2049.04;20.49;6.25;63.28;0.63;0.19;0.01;0.00;0.00;32793.36;327.93;100.00;641.63;6.42;1.96;570.41;5.70;1.74;12213.90;122.14;37.25;17166.09;171.66;52.35;88.48;0.88;0.27;2049.57;20.50;6.25;63.28;0.63;0.19;0.01;0.00;0.00;32793.36;327.93;100.00;607.58;6.08;1.85;594.76;5.95;1.81;12213.84;122.14;37.24;17166.09;171.66;52.35;98.24;0.98;0.30;2049.57;20.50;6.25;63.28;0.63;0.19;0.01;0.00;0.00;32793.32;327.93;100.00;607.56;6.08;1.85;594.78;5.95;1.81;12318.14;123.18;37.56;17055.61;170.56;52.01;98.24;0.98;0.30;2055.70;20.56;6.27;63.28;0.63;0.19;0.01;0.00;0.00;
Враца;362302.21;3623.02;100.00;21100.39;211.00;5.82;9466.24;94.66;2.61;249664.23;2496.64;68.91;53581.54;535.82;14.79;6507.46;65.07;1.80;2506.71;25.07;0.69;785.74;7.86;0.22;18689.90;186.90;5.16;362302.17;3623.02;100.00;22050.02;220.50;6.09;9954.91;99.55;2.75;261875.22;2618.75;72.28;55387.83;553.88;15.29;6924.84;69.25;1.91;2507.77;25.08;0.69;806.21;8.06;0.22;2795.38;27.95;0.77;362302.17;3623.02;100.00;22562.60;225.63;6.23;10019.52;100.20;2.77;262087.13;2620.87;72.34;57375.94;573.76;15.84;6931.82;69.32;1.91;2507.77;25.08;0.69;817.40;8.17;0.23;0.00;0.00;0.00;362302.24;3623.02;100.00;22451.67;224.52;6.20;10250.80;102.51;2.83;261958.04;2619.58;72.30;57377.36;573.77;15.84;6946.07;69.46;1.92;2507.88;25.08;0.69;810.43;8.10;0.22;0.00;0.00;0.00;
